owner_acronym,sum_effective_value
pspc,54066323.51
ec,14395596.84
esdc,4380652.88
cas,3682500.00
tc,3250717.00
phac,2631023.85
tbs,2452100.01
stats,2376615.69
csc,2109496.83
ps,2000000.00
hc,1820641.48
dfo,611481.73
crtc,573840.23
iaac,497622.66
dnd,393750.00
nrc,298850.81
cfia,273342.04
cer,270000.00
cihr,216259.00
fja,213122.33
just,174400.00
cra,170132.53
pch,138256.06
nrcan,124498.46
inac,120556.02
ced,115196.28
ic,104368.00
atssc,99999.00
opc,99892.00
wd,69495.00
tsb,58780.97
pco,56500.00
infra,28250.00
cbsa,18492.36
gac,11300.00
