owner_acronym,total_entries,total_contracts,total_amendments
ssc,335,138,197
ircc,241,138,103
pspc,226,134,92
gac,100,57,43
dnd,93,77,16
dfo,90,51,39
ec,85,63,22
esdc,74,67,7
atssc,60,24,36
pch,54,25,29
rcmp,53,18,35
cfia,31,9,22
cer,29,25,4
tc,28,18,10
agr,25,10,15
cnsc,25,14,11
just,25,10,15
nrcan,18,11,7
ic,17,11,6
ps,16,16,0
pptc,12,11,1
hc,12,10,2
psc,11,7,4
nrc,10,10,0
fin,9,5,4
cihr,8,5,3
pc,8,2,6
phac,7,5,2
csps,7,4,3
cbsa,7,6,1
tbs,7,6,1
pco,6,5,1
fintrac,5,4,1
lac,4,3,1
cra,4,4,0
irb,4,3,1
acoa,2,1,1
inac,2,2,0
csc,2,2,0
cc,1,1,0
elections,1,1,0
wage,1,1,0
stats,1,1,0
csa,1,1,0
infra,1,1,0
psic,1,1,0
