owner_acronym,sum_effective_value
ssc,134654376.15
pspc,49210977.21
ircc,28029243.68
gac,24895352.01
dnd,20643388.39
cer,19841414.93
esdc,15948383.41
ec,8203511.58
dfo,7618797.20
rcmp,6997921.05
pch,6808582.28
nrcan,6107150.38
agr,6062691.68
tc,4259408.05
cfia,3264250.90
hc,3231294.71
ic,2506879.50
cnsc,2288413.85
phac,2227849.31
just,2104036.26
atssc,2029484.36
cihr,1524189.40
pptc,1375321.69
psc,1235335.80
csps,1179462.28
irb,1164651.22
ps,762517.08
tbs,696545.29
pc,623443.25
cbsa,619901.28
fin,596903.23
nrc,464854.75
stats,374979.20
pco,245689.13
cra,182805.02
lac,138688.59
fintrac,101813.00
cc,72254.01
acoa,54290.08
elections,41391.00
csa,37688.90
csc,35129.00
psic,31131.50
infra,28250.00
