owner_acronym,total_entries,total_contracts,total_amendments
pspc,820,740,80
csc,237,227,10
cra,228,207,21
dnd,204,204,0
hc,89,89,0
esdc,82,81,1
gac,78,78,0
phac,69,69,0
rcmp,68,66,2
ircc,58,58,0
dfo,56,46,10
vac,35,32,3
nrcan,35,35,0
ec,33,33,0
ic,30,30,0
nrc,30,30,0
pc,27,27,0
just,26,26,0
stats,26,26,0
pptc,22,22,0
tc,21,21,0
cbsa,21,21,0
agr,18,17,1
pco,16,15,1
tbs,14,14,0
infra,11,11,0
fintrac,8,8,0
cfia,8,7,1
ppsc,8,8,0
pch,6,6,0
cas,6,6,0
acoa,6,6,0
cihr,6,6,0
atssc,6,5,1
ssc,5,5,0
elections,5,3,2
oic,4,4,0
csps,4,4,0
inac,4,4,0
irb,3,3,0
csa,3,3,0
ocol,2,2,0
nsira,2,2,0
cta,2,2,0
nserc,2,2,0
nfb,2,2,0
mgerc,1,1,0
opc,1,1,0
feddev,1,1,0
isc,1,1,0
cer,1,1,0
swc,1,1,0
ced,1,1,0
