owner_acronym,sum_effective_value
pspc,85957257.32
cra,11995441.70
csc,10193074.42
esdc,6827212.40
dnd,4605930.62
ircc,4193656.20
gac,3737665.90
rcmp,3193375.27
hc,1947704.27
infra,1833811.53
phac,1729236.54
pco,1631295.95
nrc,1307150.46
ic,1119392.53
stats,958010.66
dfo,943839.87
nrcan,878390.50
cbsa,875262.07
just,838099.26
atssc,816406.42
nfb,766978.47
pch,576972.83
tc,576577.40
pptc,570176.39
ec,473035.17
ppsc,445904.88
pc,396522.47
vac,365257.79
cfia,334376.90
cas,321193.25
tbs,264245.86
agr,249472.43
acoa,242297.55
fintrac,204001.40
inac,182719.15
cihr,173534.00
ssc,167271.11
oic,130350.19
cta,105185.73
elections,96253.18
csa,85548.03
csps,83546.35
swc,73965.44
nserc,70411.72
feddev,64143.15
psc,61210.00
irb,50761.35
ocol,21645.06
mgerc,18433.63
opc,14739.00
ced,14529.36
isc,13354.43
nsira,6885.67
