vendor_normalized,effective_year,sum_yearly_value
ALTIS HUMAN RESOURCES,2018,4033.25
ALTIS HUMAN RESOURCES,2019,250460.98
CBCI TELECOMCOM,2019,178877.49
CORCAN,2019,361042.00
EXCEL HUMAN RESOURCES,2018,46532.16
EXCEL HUMAN RESOURCES,2019,106324.91
FOREST COMMUNICATIONS,2017,48260.42
FOREST COMMUNICATIONS,2018,59927.09
FOREST COMMUNICATIONS,2019,59927.09
N12 CONSULTING,2018,71687.20
N12 CONSULTING,2019,71687.20
PAUKTUUTIT INUIT WOMEN OF CANADA,2019,320040.06
QMR,2019,139258.04
TARGET MARKETING COMMUNICATIONS,2019,140120.00
ZYCOM,2019,192585.21
