owner_acronym,sum_effective_value
hc,57184342.34
phac,48100536.52
ircc,44936461.47
pspc,43778437.68
ic,41285926.69
gac,30469130.46
dnd,26731152.49
nrcan,23036931.26
tbs,19606166.82
ec,13099913.78
cra,10327304.28
dfo,8769644.65
nrc,7588600.86
pc,7477245.56
pptc,6332408.47
pch,6301450.65
tc,5539328.69
ssc,4965199.70
esdc,4794378.94
cnsc,3887135.50
elections,2823094.05
pco,2405667.41
inac,2364353.20
infra,2153296.38
ps,2131968.16
cbsa,1801941.33
ppsc,1715851.27
psc,1608789.49
cfia,1593290.52
stats,1476783.87
osfi,1283972.44
csps,1278825.77
oic,1252732.03
just,1245526.58
fin,1238622.84
csc,996365.48
lac,907078.89
agr,865011.63
nserc,713472.35
cas,706982.37
fja,587879.29
isc,548877.26
rcmp,497463.02
iaac,336636.59
fintrac,326559.65
swc,244632.32
atssc,229439.13
cihr,224304.67
csa,190621.64
wage,177587.49
chrc,176738.33
opc,171443.96
oto,144129.60
cpc,136738.97
cta,132012.44
mgerc,119782.68
crtc,101003.50
fcac,70881.73
vac,69696.16
sshrc,67082.46
feddev,66244.38
psic,51834.29
cc,49496.25
irb,46426.73
ocol,44236.50
pmprb,19736.41
pbc,19026.00
oag,18122.94
ocl,17619.53
acoa,15971.99
ced,7837.36
tsb,2516.06
