owner_acronym,sum_effective_value
ircc,61121590.19
tc,28237232.44
rcmp,26636019.50
dnd,25784093.12
ic,18844379.25
pco,16617342.20
ssc,12711924.50
nrc,9720287.33
csc,8090759.00
dfo,7718198.36
cbsa,7642691.32
gac,7136389.30
pspc,5661844.90
esdc,3679644.94
cihr,2988689.91
pc,1754200.89
cnsc,1545545.64
elections,1474349.94
cfia,1426713.11
ec,961418.80
nrcan,921365.16
psc,869152.00
hc,507610.61
phac,394885.87
pptc,235462.51
tbs,203991.79
pch,97020.00
vac,49999.71
just,47974.67
nserc,43398.39
crtc,38808.00
atssc,24998.99
cta,23205.00
ppsc,11927.77
