owner_acronym,sum_effective_value
esdc,35048185.36
dnd,33405366.96
nrcan,7699484.85
hc,6262793.01
phac,3499891.73
elections,2653794.28
csa,2162693.52
ec,1320230.93
nrc,1206862.60
tbs,1157769.75
dfo,1066428.40
cnsc,962551.80
just,844410.32
gac,790549.88
fin,613590.00
ircc,567459.76
pch,470494.55
pspc,406210.80
cihr,362104.00
ced,307063.75
csc,203400.00
cfia,174161.26
fintrac,167378.43
ic,136946.00
rcmp,109668.75
pc,74687.50
ocol,38657.00
ppsc,33337.50
fcac,25000.00
iaac,19800.00
pbc,15988.00
