owner_acronym,sum_effective_value
esdc,48741612.80
dnd,45128360.94
rcmp,11327157.04
phac,9727863.77
ic,3920396.20
csc,3362932.00
just,3235105.97
nrcan,2537077.74
tc,1941487.62
ssc,1833445.56
dfo,1806101.10
fin,1689328.37
ec,1587487.02
cra,1281298.90
vac,1242713.22
tbs,1230817.53
ppsc,1119283.29
pspc,1076134.92
ircc,1007960.00
inac,399837.98
gac,334932.36
hc,284519.99
stats,229757.84
cas,150246.60
isc,146478.13
cbsa,146224.26
cnsc,145925.38
cfia,108655.68
lac,99818.37
csps,96912.44
pc,84411.31
irb,84226.70
infra,83101.33
elections,81643.76
tsb,79051.42
osfi,73100.83
oag,72750.00
ps,68150.30
pco,68034.48
fcac,59127.25
agr,45133.10
acoa,40589.40
iaac,33362.00
psc,31202.00
cgc,13623.75
vrab,12084.00
osgg,11558.43
feddev,10588.50
