owner_acronym,total_entries,total_contracts,total_amendments
dnd,192,175,17
rcmp,82,72,10
tc,74,73,1
pspc,30,29,1
just,27,22,5
ec,26,25,1
ic,25,24,1
cra,25,20,5
nrcan,23,21,2
esdc,22,20,2
ppsc,21,20,1
gac,14,9,5
hc,13,13,0
fin,13,13,0
vac,11,10,1
ssc,10,9,1
dfo,9,9,0
inac,9,9,0
cbsa,8,8,0
csc,7,5,2
stats,7,7,0
pc,6,6,0
cfia,6,6,0
ircc,5,3,2
cnsc,5,5,0
osfi,5,5,0
phac,5,5,0
ps,4,4,0
irb,4,4,0
lac,4,4,0
tbs,4,3,1
isc,3,3,0
agr,3,3,0
infra,3,3,0
psc,2,2,0
elections,2,1,1
csps,2,2,0
acoa,2,2,0
nrc,2,2,0
iaac,2,2,0
pch,2,2,0
pco,2,2,0
wage,2,2,0
fcac,2,2,0
cas,2,2,0
tsb,2,2,0
feddev,1,1,0
vrab,1,1,0
oag,1,1,0
osgg,1,1,0
csa,1,1,0
cgc,1,1,0
