owner_acronym,total_entries,total_contracts,total_amendments
nrc,96,27,69
ssc,78,40,38
tc,63,39,24
gac,37,20,17
cbsa,37,25,12
nrcan,24,14,10
ic,21,10,11
esdc,21,15,6
dfo,20,12,8
cfia,17,9,8
cnsc,11,5,6
lac,8,2,6
ec,8,6,2
cra,7,3,4
elections,7,5,2
ocol,7,4,3
stats,7,7,0
agr,5,3,2
inac,5,5,0
tbs,4,4,0
pspc,3,3,0
infra,2,2,0
dnd,2,2,0
irb,2,2,0
pco,2,2,0
atssc,1,1,0
ircc,1,1,0
pch,1,1,0
just,1,1,0
