owner_acronym,sum_effective_value
pspc,803592648.19
ssc,263584048.59
dnd,61829546.36
cra,23291342.20
rcmp,19072508.40
nrc,18349555.87
dfo,10432451.96
ircc,9797796.14
psc,9704127.00
phac,7328028.20
esdc,5854402.27
ec,4441039.22
stats,4246109.31
hc,2541558.65
pptc,2456238.04
agr,2402427.76
ps,1822433.96
gac,1586435.28
ic,1557991.00
just,1304058.72
csa,536448.78
cfia,498567.00
tc,487842.65
vac,485982.34
cbsa,483502.97
fin,245808.98
fcac,213792.00
ppsc,204007.41
ced,167883.45
fintrac,153950.16
osgg,77534.88
nrcan,76392.00
pch,74221.00
crtc,73449.16
tbs,71808.49
inac,62849.47
elections,45289.51
ijc,35776.71
cer,32074.56
cnsc,24806.25
osfi,16927.40
