owner_acronym,total_entries,total_contracts,total_amendments
cra,255,242,13
dnd,223,196,27
ssc,185,115,70
pspc,47,28,19
rcmp,36,27,9
dfo,31,18,13
ircc,29,23,6
ic,21,16,5
agr,20,15,5
ec,20,11,9
nrc,15,15,0
gac,13,13,0
stats,12,12,0
pptc,10,7,3
esdc,7,7,0
tc,7,7,0
fcac,6,6,0
csa,6,6,0
nrcan,6,6,0
ps,5,5,0
cbsa,5,4,1
hc,4,4,0
elections,4,2,2
phac,4,4,0
pch,4,4,0
osgg,4,2,2
vac,3,3,0
cfia,3,3,0
ijc,3,3,0
just,3,1,2
ppsc,2,1,1
inac,2,2,0
fin,2,2,0
crtc,2,2,0
tbs,2,2,0
ced,1,1,0
osfi,1,1,0
psc,1,1,0
cer,1,1,0
fintrac,1,1,0
