vendor_normalized,effective_year,sum_yearly_value
ALTIS HUMAN RESOURCES,2018,121580.31
CBCI TELECOMCOM,2018,74605.16
CBCI TELECOMCOM,2019,58542.01
EXCEL HUMAN RESOURCES,2017,168908.08
EXCEL HUMAN RESOURCES,2018,100393.28
FOREST COMMUNICATIONS,2017,65242.88
FOREST COMMUNICATIONS,2018,53129.28
MISHKUMI TECHNOLOGIES,2017,99748.58
MISHKUMI TECHNOLOGIES,2018,271170.55
N12 CONSULTING,2018,53765.40
N12 CONSULTING,2019,53765.40
SHARED SERVICES CANADA,2017,105854.26
SOCIETE GAMMA,2017,50000.01
SOCIETE GAMMA,2018,75000.01
SOFTCHOICE,2017,60629.08
SOFTCHOICE,2018,37991.60
SOFTCHOICE,2019,32612.51
THE AIM GROUP,2018,111359.04
THE AIM GROUP,2019,52169.91
