owner_acronym,sum_effective_value
pspc,30659342.48
dnd,26576656.83
cra,20356252.98
infra,14224152.70
phac,12938083.70
hc,11888294.16
nrcan,10552078.54
inac,10238191.44
esdc,9247586.39
gac,5294047.18
elections,2404020.86
pc,2202375.00
agr,2086879.44
lac,1883576.93
tc,1852931.68
ircc,1827767.13
just,1707728.10
cbsa,1219179.60
dfo,1214774.23
tbs,1153730.00
ec,1081573.53
rcmp,802578.00
ic,775098.00
ssc,647130.30
pch,385455.00
ps,333350.00
cta,325575.07
csa,208897.50
cnsc,147295.50
nrc,104754.00
cfia,51755.13
csc,19914.56
psc,11471.00
fin,8662.50
