gen_vendor_normalized,total_entries,total_contracts,total_amendments
DONNA CONA,125,106,19
CANADIAN DEVELOPMENT CONSULTANTS,120,80,40
PUBLIC HISTORY,120,81,39
NORTHERN MICRO,97,97,0
JOAN HOLMES ASSOC,93,68,25
STRATOS,84,66,18
THG THE HISTORY GROUP,82,64,18
EXCEL HUMAN RESOURCES,80,51,29
SMITH RESEARCH,61,37,24
ARCADIS CANADA,54,44,10
ALTIS HUMAN RESOURCES,50,40,10
CANADIAN CORPS OF COMMISSIONAIRES,49,45,4
LINK ADVANTAGE RESEARCH,41,33,8
ENNS RON,40,26,14
QMR,39,30,9
WAMPUM RECORDS AND CANADIAN,39,34,5
ASOKAN BUSINESS INTERIORS,38,38,0
BKH SOLUTIONS CONSULTING,37,9,28
NISHA TECHONOLOGIES,36,35,1
CDCI RESEARCH,36,27,9
ESRI,36,35,1
STANTEC,36,30,6
DELOITTE AND TOUCHE,36,26,10
XEROX,34,30,4
CANON,31,28,3
ADGA GROUP,30,29,1
TIREE,30,24,6
WAMPUM RECORDS,30,16,14
LANE SIOBHAN,29,15,14
MAXSYS STAFFING AND CONSULTING,29,15,14
KPMG,29,21,8
KONICA MINOLTA BUSINESS EQUIPMENT,28,24,4
COLLIERS PROJECT LEADERS,28,24,4
BRONSON CONSULTING GROUP,28,18,10
SNC LAVALIN,28,20,8
IRON MOUNTAIN,28,19,9
ORACLE CANADA,27,26,1
ARTEMP PERSONNEL SERVICES,26,16,10
APPLIED ELECTONICS,25,25,0
THE RIGHT DOOR CONSULTING,25,14,11
CORADIX TECHNOLOGY CONSULTING,25,20,5
BLAIR ELLIOT TOTHILL O A SOMATOS,24,17,7
IT NET CONSULTANTS,24,18,6
IBM CANADA,23,22,1
ECOLE DE LANGUES ABCE,23,19,4
HISTORICE CONSULTANTS,23,18,5
BDO CANADA,23,12,11
AIR TINDI,23,23,0
CDW CANADA,22,20,2
TURTLE ISLAND STAFFING,22,15,7
SUMMIT AIR CHARTERS,22,22,0
BUNTON ANDREA,21,14,7
GREAT SLAVE HELICOPTER,21,21,0
ROBERTSON GEOCONSULTANTS,21,13,8
JACOBI SANDRA E,20,12,8
ADVANCED CHIPPEWA TECHNOLOGIES,19,18,1
CIRCARE CONSULTANTS,18,16,2
FOREST COMMUNICATIONS,18,16,2
QUANTUM MANAGEMENT SERVICES,18,12,6
DALIAN ENTERPRISES,18,14,4
RICOH,18,16,2
INTELLIQUEST CANADA,18,16,2
CENTRE DE LANGUES INTERNATIONALES,17,15,2
TPG TECHNOLOGY CONSULTANTS,17,17,0
SAMSON ASSOCIATES,17,11,6
1236007 ALBERTA,17,14,3
KONICA MINOLTA BUSINESS SOLUTIONS,17,14,3
BGC ENGINEERING,17,17,0
KNOWLEDGE CIRCLE LEARNING SERVICES,17,16,1
CLARK ADRIAN,16,13,3
HAWORTH C O ASOKAN,16,16,0
DYNAMIC PERSONNEL,16,13,3
DPRA CANADA,16,13,3
FISCAL REALITIES ECONOMISTS,16,15,1
DEJONG MELISSA JOY,16,9,7
BOYLE MARILYN,16,13,3
SETASIDE SOLUTIONS 4336615 CANADA,16,15,1
PRICEWATERHOUSE COOPERS,15,12,3
DR COELL AND ASSOCIATES,15,8,7
IM CHAIKIN INFORMATION SOLUTIONS,15,7,8
SRK CONSULTING CANADA,15,11,4
PEAK MANAGEMENT AND NEGOTIATIONS,15,3,12
CIMBERLY GAYLE RESEARCH SERVICES,15,9,6
TOTEM OFFISOURCE,15,15,0
PITNEY BOWES,14,14,0
