vendor_normalized,effective_year,sum_yearly_value
CANADIAN CORPS OF COMMISSIONAIRES,2010,3653890.50
CANADIAN CORPS OF COMMISSIONAIRES,2011,3589818.00
CANADIAN CORPS OF COMMISSIONAIRES,2012,3913673.00
CANADIAN CORPS OF COMMISSIONAIRES,2013,3125051.50
CANADIAN CORPS OF COMMISSIONAIRES,2014,1781330.50
CANADIAN CORPS OF COMMISSIONAIRES,2015,3683427.00
CANADIAN CORPS OF COMMISSIONAIRES,2016,2709186.00
CANADIAN CORPS OF COMMISSIONAIRES,2017,746566.51
CANADIAN CORPS OF COMMISSIONAIRES,2018,1957827.58
CANADIAN CORPS OF COMMISSIONAIRES,2019,2211150.34
COFOMO,2010,248061.00
COFOMO,2011,806856.67
COFOMO,2012,182077.00
COFOMO,2013,480339.00
COFOMO,2014,892214.67
COFOMO,2015,2475728.50
COFOMO,2016,4306139.21
COFOMO,2017,5022529.12
COFOMO,2018,4731642.63
COFOMO,2019,4273209.68
EXCEL HUMAN RESOURCES,2010,1669347.00
EXCEL HUMAN RESOURCES,2011,2243221.50
EXCEL HUMAN RESOURCES,2012,2412354.00
EXCEL HUMAN RESOURCES,2013,3457366.33
EXCEL HUMAN RESOURCES,2014,3576764.00
EXCEL HUMAN RESOURCES,2015,3626321.50
EXCEL HUMAN RESOURCES,2016,3264905.95
EXCEL HUMAN RESOURCES,2017,6320299.81
EXCEL HUMAN RESOURCES,2018,8211283.49
EXCEL HUMAN RESOURCES,2019,6504063.10
GROUPE ONSCOPE ONSCOPE,2010,1276049.29
GROUPE ONSCOPE ONSCOPE,2011,1310167.29
GROUPE ONSCOPE ONSCOPE,2012,3788652.29
GROUPE ONSCOPE ONSCOPE,2013,3211590.67
GROUPE ONSCOPE ONSCOPE,2015,5198.00
GROUPE ONSCOPE ONSCOPE,2016,2443682.93
GROUPE ONSCOPE ONSCOPE,2017,13916316.78
GROUPE ONSCOPE ONSCOPE,2018,6418105.72
GROUPE ONSCOPE ONSCOPE,2019,6418105.72
LS TELCOM,2011,1001500.00
LS TELCOM,2012,1001500.00
LS TELCOM,2016,24996.00
LS TELCOM,2017,34544744.82
LS TELCOM,2018,34544744.82
MINDWIRE SYSTEMS,2010,307518.67
MINDWIRE SYSTEMS,2011,885330.58
MINDWIRE SYSTEMS,2012,1213226.75
MINDWIRE SYSTEMS,2013,1879121.08
MINDWIRE SYSTEMS,2014,1976186.42
MINDWIRE SYSTEMS,2015,2502291.50
MINDWIRE SYSTEMS,2016,2439923.29
MINDWIRE SYSTEMS,2017,2876693.05
MINDWIRE SYSTEMS,2018,2537487.75
MINDWIRE SYSTEMS,2019,4251292.02
MODIS CANADA,2010,1491102.83
MODIS CANADA,2011,1731405.28
MODIS CANADA,2012,1209997.33
MODIS CANADA,2013,2975270.00
MODIS CANADA,2014,2809141.00
MODIS CANADA,2015,2020948.33
MODIS CANADA,2016,2252912.20
MODIS CANADA,2017,2467932.13
MODIS CANADA,2018,1985232.60
MODIS CANADA,2019,2677561.85
NORTHERN MICRO,2010,26712.00
NORTHERN MICRO,2011,945275.00
NORTHERN MICRO,2012,184380.50
NORTHERN MICRO,2013,587399.00
NORTHERN MICRO,2014,727637.50
NORTHERN MICRO,2015,3245711.50
NORTHERN MICRO,2016,1925628.50
NORTHERN MICRO,2017,1478784.45
NORTHERN MICRO,2018,6300486.83
NORTHERN MICRO,2019,3647909.65
VERITAAQ TECHNOLOGY HOUSE,2010,1155490.00
VERITAAQ TECHNOLOGY HOUSE,2011,54480.00
VERITAAQ TECHNOLOGY HOUSE,2012,86721.00
VERITAAQ TECHNOLOGY HOUSE,2013,779207.67
VERITAAQ TECHNOLOGY HOUSE,2014,434997.00
VERITAAQ TECHNOLOGY HOUSE,2015,767009.17
VERITAAQ TECHNOLOGY HOUSE,2016,564341.95
VERITAAQ TECHNOLOGY HOUSE,2017,3142884.39
VERITAAQ TECHNOLOGY HOUSE,2018,4998569.90
VERITAAQ TECHNOLOGY HOUSE,2019,7177331.83
XEROX,2010,321176.17
XEROX,2011,3734202.82
XEROX,2012,3730549.65
XEROX,2013,3569105.15
XEROX,2014,3687098.32
XEROX,2015,3682646.32
XEROX,2016,3541795.65
XEROX,2017,3539474.15
XEROX,2018,1504734.44
XEROX,2019,1570358.28
