source_year,total_original_entries,entries_below_25k,entries_above_25k,original_sum_below_25k,original_sum_above_25k
2017,32,15,17,261459.39,2498497.25
2018,51,23,28,465093.53,3594531.93
2019,32,14,18,215205.18,2308236.14
