owner_acronym,total_entries,total_contracts,total_amendments
ssc,368,340,28
dnd,174,171,3
tc,34,34,0
stats,32,32,0
rcmp,18,18,0
nserc,16,16,0
pspc,15,15,0
ec,12,12,0
osfi,11,9,2
just,10,10,0
dfo,9,9,0
crtc,7,7,0
agr,6,6,0
gac,6,6,0
ic,5,5,0
nrc,5,5,0
pc,4,4,0
nrcan,3,3,0
fcac,3,3,0
atssc,2,1,1
irb,2,2,0
hc,2,2,0
cbsa,2,2,0
inac,2,2,0
nfb,1,1,0
cra,1,1,0
cfia,1,1,0
tbs,1,1,0
fin,1,1,0
ps,1,1,0
