owner_acronym,effective_year,sum_yearly_value
cra,2010,15095.76
cra,2011,6020.02
cra,2012,6020.02
cra,2013,6020.02
cra,2014,6020.02
csc,2014,91617.00
csc,2015,1611573.00
csc,2016,1406073.00
csc,2017,72262.50
csc,2018,246978.03
csc,2019,39335.37
esdc,2010,24990.00
hc,2010,392733.89
hc,2011,984922.79
hc,2012,351628.80
hc,2013,1070921.60
hc,2014,18685928.98
hc,2015,17745275.36
hc,2016,17731275.39
hc,2017,17731275.39
hc,2018,18999.99
isc,2018,11017.50
isc,2019,11017.50
just,2010,56280.00
just,2011,246375.14
just,2012,205179.75
just,2014,187852.56
just,2015,146168.11
just,2016,113651.11
just,2017,125206.89
just,2018,202204.77
just,2019,484815.30
phac,2010,260690.90
phac,2011,1402493.95
phac,2012,481449.60
phac,2013,1420755.20
phac,2014,12627838.65
phac,2015,11808183.60
phac,2016,11827183.59
phac,2017,11827183.59
phac,2018,18999.99
stats,2010,39690.00
stats,2011,284601.87
stats,2012,322242.17
stats,2014,33900.00
stats,2015,16950.00
stats,2016,15820.00
stats,2017,21470.00
tc,2012,22585.32
tc,2014,10396.00
vac,2011,73646.72
vac,2012,73646.72
vac,2014,104243.52
vac,2015,220777.26
vac,2016,220777.26
