owner_acronym,sum_effective_value
rcmp,360643035.38
dnd,237829386.34
pspc,202084159.12
csc,95814141.56
cra,65143138.31
esdc,62431832.00
ircc,59713031.04
gac,57387103.01
cbsa,49539920.20
nrc,42778973.31
dfo,37546967.80
tc,30269645.23
hc,29466998.67
ic,27886690.51
agr,26050635.02
just,24797547.64
stats,23521635.17
pptc,22120370.93
nrcan,19546202.97
cas,19077069.52
csa,18127935.04
ec,17985784.88
pco,17542322.19
ssc,16422664.57
phac,15888478.93
vac,12214879.22
lac,11934430.33
cfia,11905296.66
pc,9799752.04
ppsc,7292434.50
pch,6054079.58
tbs,4297474.40
cnsc,3937829.31
inac,3679933.09
ps,2633889.31
fintrac,1511841.16
nbc,1405692.50
cihr,1188473.28
pbc,958692.65
ced,835079.14
infra,800086.60
irb,709882.37
osfi,704868.89
elections,605980.58
csps,313310.17
acoa,284399.58
cer,240473.93
cpc,171460.38
feddev,149484.85
vrab,122065.99
nserc,118231.54
mpcc,63551.20
atssc,63251.46
isc,51323.86
psc,46929.04
fin,21625.49
mgerc,15211.71
