vendor_normalized,effective_year,sum_yearly_value
ADRM TECHNOLOGY CONSULTING,2012,419008.52
ADRM TECHNOLOGY CONSULTING,2013,419008.52
ADRM TECHNOLOGY CONSULTING,2014,926849.35
ADRM TECHNOLOGY CONSULTING,2015,507840.83
ADRM TECHNOLOGY CONSULTING,2016,507840.83
ADRM TECHNOLOGY CONSULTING,2017,507840.83
ADRM TECHNOLOGY CONSULTING,2018,507840.83
ADRM TECHNOLOGY CONSULTING,2019,507840.83
AMITA,2011,253634.16
AMITA,2012,1547103.40
AMITA,2013,1303808.74
AMITA,2014,1303808.74
AMITA,2015,1328386.24
AMITA,2016,1071302.31
AMITA,2017,388008.42
AMITA,2018,882527.47
AMITA,2019,882527.47
COSSETTE COMMUNICATIONS,2011,517520.01
COSSETTE COMMUNICATIONS,2012,517520.01
COSSETTE COMMUNICATIONS,2013,619200.61
COSSETTE COMMUNICATIONS,2014,4450363.63
COSSETTE COMMUNICATIONS,2015,1988923.84
COSSETTE COMMUNICATIONS,2017,1059152.81
COSSETTE COMMUNICATIONS,2018,2817907.98
COSSETTE COMMUNICATIONS,2019,899500.68
ECOLE DE LANGUES LA CITE,2010,50774.50
ECOLE DE LANGUES LA CITE,2011,1285338.84
ECOLE DE LANGUES LA CITE,2012,1358375.33
ECOLE DE LANGUES LA CITE,2013,316541.62
ECOLE DE LANGUES LA CITE,2014,166150.85
ECOLE DE LANGUES LA CITE,2015,243579.52
ECOLE DE LANGUES LA CITE,2016,447211.98
ECOLE DE LANGUES LA CITE,2017,29172.51
LUMINA IT,2010,390285.00
LUMINA IT,2013,933353.33
LUMINA IT,2014,941800.22
LUMINA IT,2015,736146.10
LUMINA IT,2016,74970.25
LUMINA IT,2017,786457.10
LUMINA IT,2018,835013.20
LUMINA IT,2019,75674.89
MANIFEST COMMUNICATION,2011,4424703.33
MANIFEST COMMUNICATION,2012,4424703.33
MANIFEST COMMUNICATION,2013,2786203.33
MANIFEST COMMUNICATION,2014,659920.00
MANIFEST COMMUNICATIONS,2011,3197319.07
MANIFEST COMMUNICATIONS,2012,3197319.07
MANIFEST COMMUNICATIONS,2013,3197319.07
MANIFEST COMMUNICATIONS,2014,3197319.07
MANIFEST COMMUNICATIONS,2015,2220353.27
MASHA KRUPP,2012,2000000.00
MASHA KRUPP,2013,2000000.00
MICROSOFT CANADA,2010,1395098.46
MICROSOFT CANADA,2011,1640788.78
MICROSOFT CANADA,2012,1698122.89
MICROSOFT CANADA,2013,908730.15
MICROSOFT CANADA,2014,275265.38
MICROSOFT CANADA,2015,229874.30
MICROSOFT CANADA,2016,377735.87
MICROSOFT CANADA,2017,689245.59
MICROSOFT CANADA,2018,439312.80
MICROSOFT CANADA,2019,215765.03
NISHA TECHONOLOGIES,2010,658835.38
NISHA TECHONOLOGIES,2011,1430484.03
NISHA TECHONOLOGIES,2012,461445.12
NISHA TECHONOLOGIES,2013,72110.14
NISHA TECHONOLOGIES,2014,427153.67
NISHA TECHONOLOGIES,2015,245685.62
NISHA TECHONOLOGIES,2016,137203.15
NISHA TECHONOLOGIES,2017,451514.25
NISHA TECHONOLOGIES,2018,700334.20
NISHA TECHONOLOGIES,2019,1798422.53
