source_year,total_original_entries,entries_below_25k,entries_above_25k,original_sum_below_25k,original_sum_above_25k
2010,381,200,181,3472586.85,29063608.09
2011,385,230,155,4052245.02,23873032.11
2012,313,171,142,2910864.70,27143322.73
2013,271,137,134,2332157.62,24987682.83
2014,273,122,151,2082062.15,29478680.33
2015,291,130,161,2391588.60,27075589.48
2016,260,138,122,2382982.40,10234279.25
2017,206,100,106,1764421.88,13389623.47
2018,243,118,125,2157352.71,17566463.45
2019,190,95,95,1692404.31,14645826.29
