gen_vendor_normalized,source_year,total_entries,total_contracts,total_amendments
CARON TRAINING CENTRE,2010,1,1,0
CARON TRAINING CENTRE,2011,2,2,0
CARON TRAINING CENTRE,2012,5,5,0
CARON TRAINING CENTRE,2013,5,5,0
CARON TRAINING CENTRE,2014,7,6,1
CARON TRAINING CENTRE,2015,13,13,0
CARON TRAINING CENTRE,2016,14,7,7
CARON TRAINING CENTRE,2017,5,4,1
CARON TRAINING CENTRE,2018,3,2,1
CARON TRAINING CENTRE,2019,1,1,0
CBCI TELECOM,2010,6,6,0
CBCI TELECOM,2011,5,5,0
CBCI TELECOM,2012,8,8,0
CBCI TELECOM,2013,3,3,0
CBCI TELECOM,2014,1,1,0
CBCI TELECOM,2015,6,6,0
CBCI TELECOM,2016,3,3,0
CBCI TELECOM,2017,1,1,0
COSSETTE COMMUNICATIONS,2011,1,1,0
COSSETTE COMMUNICATIONS,2013,7,7,0
COSSETTE COMMUNICATIONS,2014,25,25,0
COSSETTE COMMUNICATIONS,2017,10,8,2
COSSETTE COMMUNICATIONS,2018,15,14,1
ECOLE DE LANGUES LA CITE,2010,2,2,0
ECOLE DE LANGUES LA CITE,2011,9,9,0
ECOLE DE LANGUES LA CITE,2012,10,10,0
ECOLE DE LANGUES LA CITE,2013,11,11,0
ECOLE DE LANGUES LA CITE,2014,7,7,0
ECOLE DE LANGUES LA CITE,2015,19,19,0
ECOLE DE LANGUES LA CITE,2016,12,7,5
EXCEL HUMAN RESOURCES,2010,6,6,0
EXCEL HUMAN RESOURCES,2011,8,8,0
EXCEL HUMAN RESOURCES,2012,7,7,0
EXCEL HUMAN RESOURCES,2013,3,3,0
EXCEL HUMAN RESOURCES,2014,4,4,0
EXCEL HUMAN RESOURCES,2015,6,6,0
EXCEL HUMAN RESOURCES,2016,5,2,3
EXCEL HUMAN RESOURCES,2017,3,1,2
EXCEL HUMAN RESOURCES,2018,1,1,0
ITEX,2010,2,2,0
ITEX,2011,5,5,0
ITEX,2012,12,12,0
ITEX,2013,10,10,0
ITEX,2014,3,3,0
ITEX,2015,7,7,0
ITEX,2016,12,11,1
ITEX,2017,3,3,0
MASHA KRUPP TRANSLATION GROUP,2012,2,2,0
MASHA KRUPP TRANSLATION GROUP,2013,12,12,0
MASHA KRUPP TRANSLATION GROUP,2014,14,14,0
MASHA KRUPP TRANSLATION GROUP,2015,17,17,0
MASHA KRUPP TRANSLATION GROUP,2016,6,6,0
MICROSOFT CANADA,2010,5,5,0
MICROSOFT CANADA,2011,6,6,0
MICROSOFT CANADA,2012,9,9,0
MICROSOFT CANADA,2013,3,3,0
MICROSOFT CANADA,2014,4,4,0
MICROSOFT CANADA,2015,2,2,0
MICROSOFT CANADA,2016,7,5,2
MICROSOFT CANADA,2017,2,2,0
MICROSOFT CANADA,2018,2,2,0
MICROSOFT CANADA,2019,6,4,2
NISHA TECHONOLOGIES,2010,12,12,0
NISHA TECHONOLOGIES,2011,17,17,0
NISHA TECHONOLOGIES,2012,2,2,0
NISHA TECHONOLOGIES,2013,6,6,0
NISHA TECHONOLOGIES,2014,4,4,0
NISHA TECHONOLOGIES,2015,4,4,0
NISHA TECHONOLOGIES,2016,8,7,1
NISHA TECHONOLOGIES,2017,12,10,2
NISHA TECHONOLOGIES,2018,8,6,2
NISHA TECHONOLOGIES,2019,22,20,2
THE MASHA KRUPP TRANSLATION,2016,5,4,1
THE MASHA KRUPP TRANSLATION,2017,16,8,8
THE MASHA KRUPP TRANSLATION,2018,14,7,7
THE MASHA KRUPP TRANSLATION,2019,13,10,3
