owner_acronym,sum_effective_value
dnd,103139002.85
ircc,22570980.64
hc,17541741.39
ic,15767517.61
gac,14993325.74
csc,12139691.00
phac,12031062.78
pspc,11666346.15
tc,10322272.60
esdc,9111955.87
infra,8367579.39
inac,6788129.52
elections,5755146.98
stats,5373803.12
fcac,3855059.99
ps,2632585.25
agr,2625720.35
rcmp,2186404.69
ssc,2040232.83
dfo,1524464.33
nrcan,1121249.00
fja,1034366.97
just,1019370.93
cbsa,886813.40
lac,830999.05
cnsc,631816.75
isc,593520.18
psc,399998.00
nrc,386771.00
ec,281536.00
pch,275377.86
iaac,249000.00
tbs,241303.20
pptc,208677.00
vac,131847.97
fintrac,62150.00
oic,60647.12
irb,51909.38
mgerc,48590.00
pbc,44070.00
nserc,24747.00
pco,23255.40
cra,16944.35
