owner_acronym,total_entries,total_contracts,total_amendments
ircc,226,131,95
ic,123,51,72
gac,86,52,34
dnd,69,50,19
tc,61,43,18
rcmp,41,18,23
esdc,39,32,7
agr,31,22,9
elections,29,22,7
inac,25,20,5
ssc,24,12,12
stats,22,22,0
dfo,22,10,12
phac,14,12,2
fja,14,10,4
hc,14,12,2
pspc,14,10,4
tbs,10,5,5
ec,8,5,3
infra,8,5,3
just,7,3,4
nrcan,7,6,1
csc,5,3,2
nrc,4,3,1
pptc,4,4,0
pch,4,2,2
fcac,4,3,1
cbsa,4,2,2
isc,4,3,1
pco,4,4,0
iaac,3,1,2
oic,3,2,1
ps,3,3,0
vac,2,1,1
cnsc,2,2,0
lac,2,1,1
mgerc,2,2,0
nserc,2,2,0
pbc,1,1,0
fintrac,1,1,0
psc,1,1,0
cra,1,1,0
irb,1,1,0
