source_year,total_original_entries,entries_below_25k,entries_above_25k,original_sum_below_25k,original_sum_above_25k
2016,23,10,13,153648.86,782079.97
2017,133,55,78,949868.39,11132153.85
2018,404,165,239,2740236.83,30865335.98
2019,232,103,129,1761604.64,17042871.35
