vendor_normalized,effective_year,sum_yearly_value
ATCHISON DENMAN COURT REPORTING,2016,671785.00
ATCHISON DENMAN COURT REPORTING,2017,671785.00
AVI SPL CANADA,2017,31874.05
AVI SPL CANADA,2018,486111.41
AVI SPL CANADA,2019,442700.63
CANADIAN CORPS OF COMMISSIONAIRES,2014,694090.96
CANADIAN CORPS OF COMMISSIONAIRES,2015,1158041.19
CANADIAN CORPS OF COMMISSIONAIRES,2016,2116306.70
CANADIAN CORPS OF COMMISSIONAIRES,2017,4220310.53
CANADIAN CORPS OF COMMISSIONAIRES,2018,4171916.65
CANADIAN CORPS OF COMMISSIONAIRES,2019,5710838.35
INTERNATIONAL REPORTING AND TRANSCRIPTION,2013,197516.85
INTERNATIONAL REPORTING AND TRANSCRIPTION,2014,197516.85
INTERNATIONAL REPORTING AND TRANSCRIPTION,2015,197516.85
INTERNATIONAL REPORTING AND TRANSCRIPTION,2016,197516.85
INTERNATIONAL REPORTING AND TRANSCRIPTION,2017,197516.85
INTERNATIONAL REPORTING AND TRANSCRIPTION,2018,197516.85
INTERNATIONAL REPORTING AND TRANSCRIPTION,2019,197516.85
LIONBRIDGE,2016,1141250.00
LIONBRIDGE,2017,1341250.00
LIONBRIDGE,2018,600000.00
LIONBRIDGE,2019,600000.00
NATTIQ,2016,102361.05
NATTIQ,2017,189032.05
NATTIQ,2018,289387.44
NATTIQ,2019,313693.69
NISHA TECHONOLOGIES,2018,12115.00
NISHA TECHONOLOGIES,2019,815947.33
RICOH,2015,12712.50
RICOH,2016,459845.25
RICOH,2017,452273.68
RICOH,2018,472663.40
RICOH,2019,533168.08
SAMSON ASSOCIATES,2016,184868.00
SAMSON ASSOCIATES,2017,446578.50
SAMSON ASSOCIATES,2018,261710.50
SAMSON ASSOCIATES,2019,261710.50
TELUS CANADA,2014,7936.38
TELUS CANADA,2015,7936.38
TELUS CANADA,2016,24622.87
TELUS CANADA,2017,57551.20
TELUS CANADA,2018,1334150.14
TELUS CANADA,2019,209708.41
