source_year,total_original_entries,entries_below_25k,entries_above_25k,original_sum_below_25k,original_sum_above_25k
2010,567,376,191,6464986.12,23341802.76
2011,581,366,215,6119923.71,33136922.91
2012,369,222,147,3636288.41,24302175.17
2013,442,258,184,4400540.09,26123543.44
2014,314,174,140,3036750.96,18490063.52
2015,443,284,159,4953004.53,19659196.82
2016,378,214,164,3661510.33,24801028.82
2017,374,226,148,3818257.23,19969745.19
2018,460,230,230,3971055.86,51856642.79
2019,406,202,204,3387277.73,38306997.32
