owner_acronym,sum_effective_value
csc,85306730.66
hc,17307116.44
phac,16689676.59
tbs,7667569.78
crtc,5400649.80
atssc,5111063.97
ic,4650048.71
ssc,4122182.43
fin,3961225.06
rcmp,3903409.47
esdc,3311799.52
agr,3154544.39
nrc,2855815.75
dfo,2227812.03
pspc,1918873.03
cnsc,1902973.30
just,1536595.13
ps,1159365.39
gac,1136223.49
tc,1106948.00
ircc,1072816.90
cfia,1053658.95
pco,862992.34
nrcan,826040.26
pptc,731422.65
ec,675800.01
cbsa,615094.82
stats,306615.33
osfi,304597.14
oag,292763.22
pc,211554.00
fcac,186450.00
csps,177975.01
irb,117653.34
iaac,74000.00
dnd,62056.10
sshrc,40228.00
infra,39668.65
inac,31594.80
chrc,23987.64
elections,23713.59
cpc,21960.50
ijc,21744.14
cihr,16075.41
