owner_acronym,source_year,total_entries,total_contracts,total_amendments
agr,2013,1,1,0
agr,2014,4,2,2
agr,2015,6,6,0
agr,2016,6,3,3
agr,2017,4,1,3
agr,2018,1,1,0
agr,2019,2,2,0
atssc,2016,2,1,1
atssc,2017,7,1,6
atssc,2018,16,12,4
atssc,2019,23,5,18
cas,2019,1,1,0
cbsa,2014,3,3,0
cbsa,2015,4,4,0
cbsa,2016,4,2,2
cbsa,2017,1,0,1
cfia,2012,2,2,0
cfia,2013,3,3,0
cfia,2014,2,1,1
cfia,2015,1,0,1
cfia,2016,1,1,0
chrc,2018,1,1,0
cihr,2018,1,1,0
cnsc,2010,2,1,1
cnsc,2013,1,1,0
cnsc,2014,2,2,0
cnsc,2015,2,0,2
cnsc,2016,2,1,1
cnsc,2017,2,0,2
cnsc,2018,3,1,2
cpc,2019,1,1,0
cra,2010,1,0,1
crtc,2017,3,3,0
crtc,2018,4,3,1
crtc,2019,2,2,0
csc,2013,2,1,1
csc,2014,5,3,2
csc,2015,4,1,3
csc,2016,3,3,0
csc,2017,1,1,0
csc,2018,4,0,4
csc,2019,2,1,1
csps,2015,1,1,0
dfo,2010,4,4,0
dfo,2011,3,1,2
dfo,2012,1,1,0
dfo,2013,1,0,1
dfo,2016,1,1,0
dfo,2017,1,0,1
dfo,2018,7,3,4
dfo,2019,6,2,4
dnd,2010,2,0,2
dnd,2011,1,1,0
dnd,2012,2,1,1
dnd,2013,1,1,0
ec,2010,2,2,0
ec,2011,5,4,1
ec,2012,3,2,1
ec,2013,2,1,1
ec,2014,1,0,1
ec,2019,1,1,0
elections,2017,1,1,0
esdc,2010,4,4,0
esdc,2011,4,4,0
esdc,2012,6,6,0
esdc,2013,5,5,0
esdc,2014,4,4,0
esdc,2015,8,8,0
esdc,2016,13,12,1
esdc,2017,6,3,3
esdc,2018,1,1,0
esdc,2019,1,1,0
fcac,2016,2,1,1
fin,2010,2,2,0
fin,2011,1,1,0
fin,2012,1,0,1
fin,2013,4,2,2
fin,2014,2,0,2
fin,2015,3,2,1
fin,2016,1,0,1
fin,2017,2,0,2
fin,2018,2,2,0
fin,2019,2,0,2
gac,2011,3,3,0
gac,2012,5,3,2
gac,2013,1,0,1
gac,2014,1,1,0
gac,2015,1,1,0
gac,2016,2,1,1
gac,2017,1,1,0
gac,2018,2,1,1
gac,2019,1,0,1
hc,2010,1,1,0
hc,2011,2,2,0
hc,2012,3,1,2
hc,2013,4,4,0
hc,2014,2,2,0
hc,2015,3,2,1
hc,2016,4,3,1
hc,2017,7,6,1
hc,2018,13,8,5
hc,2019,7,3,4
iaac,2012,2,1,1
ic,2010,4,2,2
ic,2011,7,6,1
ic,2012,5,3,2
ic,2013,3,3,0
ic,2014,5,2,3
ic,2015,2,0,2
ic,2016,1,0,1
ic,2017,1,0,1
ic,2018,4,2,2
ic,2019,4,4,0
ijc,2018,1,1,0
ijc,2019,1,1,0
inac,2013,1,1,0
inac,2017,1,1,0
infra,2011,2,2,0
ircc,2011,2,2,0
ircc,2012,2,1,1
ircc,2013,3,3,0
ircc,2014,1,1,0
ircc,2015,1,1,0
ircc,2016,1,0,1
ircc,2018,2,1,1
ircc,2019,1,0,1
just,2013,1,1,0
just,2016,1,1,0
just,2017,1,1,0
just,2019,2,2,0
nrc,2011,1,1,0
nrc,2012,2,1,1
nrc,2014,1,1,0
nrc,2016,2,2,0
nrc,2017,5,2,3
nrc,2018,9,3,6
nrc,2019,6,2,4
nrcan,2011,2,2,0
nrcan,2012,2,1,1
nrcan,2014,2,2,0
nrcan,2016,1,1,0
nrcan,2018,4,4,0
nrcan,2019,3,2,1
oag,2017,1,1,0
oag,2018,3,1,2
oag,2019,2,2,0
osfi,2016,1,1,0
osgg,2019,2,1,1
pc,2019,1,1,0
pco,2012,2,2,0
pco,2013,3,2,1
pco,2014,4,2,2
phac,2010,1,1,0
phac,2011,2,2,0
phac,2012,3,1,2
phac,2013,4,4,0
phac,2014,2,2,0
phac,2015,3,2,1
phac,2016,3,2,1
pptc,2011,3,2,1
pptc,2012,1,1,0
pptc,2013,3,3,0
pptc,2014,1,1,0
ps,2010,3,3,0
ps,2012,4,4,0
ps,2013,1,1,0
ps,2018,1,1,0
pspc,2010,5,3,2
pspc,2011,6,5,1
pspc,2012,2,1,1
pspc,2013,2,1,1
pspc,2014,1,1,0
pspc,2015,2,1,1
rcmp,2011,2,1,1
rcmp,2012,1,0,1
rcmp,2015,2,1,1
rcmp,2016,1,0,1
rcmp,2017,1,0,1
rcmp,2018,3,2,1
rcmp,2019,4,2,2
ssc,2013,7,6,1
ssc,2014,3,1,2
ssc,2016,2,2,0
ssc,2017,5,3,2
ssc,2018,4,3,1
ssc,2019,3,0,3
sshrc,2017,1,1,0
stats,2010,1,1,0
stats,2011,2,2,0
tbs,2011,1,1,0
tbs,2012,4,2,2
tbs,2013,1,1,0
tbs,2014,1,1,0
tbs,2019,1,1,0
tc,2012,3,3,0
tc,2013,1,1,0
tc,2014,1,1,0
tc,2015,1,1,0
