owner_acronym,total_entries,total_contracts,total_amendments
esdc,52,48,4
atssc,48,19,29
hc,46,32,14
ic,36,22,14
nrc,26,12,14
agr,24,16,8
ssc,24,15,9
dfo,24,12,12
csc,21,10,11
fin,20,9,11
phac,18,14,4
pspc,18,12,6
gac,17,11,6
rcmp,14,6,8
nrcan,14,12,2
cnsc,14,6,8
ec,14,10,4
ircc,13,9,4
cbsa,12,9,3
crtc,9,8,1
cfia,9,7,2
pco,9,6,3
ps,9,9,0
pptc,8,7,1
tbs,8,6,2
oag,6,4,2
tc,6,6,0
dnd,6,3,3
just,5,5,0
stats,3,3,0
fcac,2,1,1
infra,2,2,0
osgg,2,1,1
inac,2,2,0
ijc,2,2,0
iaac,2,1,1
pc,1,1,0
csps,1,1,0
cra,1,0,1
osfi,1,1,0
elections,1,1,0
cpc,1,1,0
cihr,1,1,0
chrc,1,1,0
cas,1,1,0
sshrc,1,1,0
