gen_vendor_normalized,total_entries,total_contracts,total_amendments
ALTIS HUMAN RESOURCES,15,13,2
SOFTCHOICE,8,8,0
EXCEL HUMAN RESOURCES,8,7,1
ANTHONY MACAULEY ASSOCIATES VICTORIA,6,6,0
HANNAH MOFFAT KELLY,6,2,4
MICROSOFT CANADA,5,5,0
STRIVE,5,3,2
SAMSON ASSOCIES CPA CONSULTATION,4,4,0
PRIMEXX VENTURES,4,2,2
ACCESSDATA GROUP,3,3,0
SOLUTIONS MOERAE,3,3,0
INFO TECH RESEARCH GROUP,3,3,0
ORACLE CANADA,3,3,0
LUMINA IT,3,3,0
ASOKAN BUSINESS INTERIORS,3,3,0
GONTRAN BLAIS DESIGN,3,3,0
TECHWIND,2,1,1
BOPPRE BREANNA,2,1,1
NISHA TECHONOLOGIES,2,2,0
TRADUCTIONS TESSIER,2,2,0
VISIBLETHREAD,2,2,0
WEBDRIVE CANADA,2,2,0
OPENTEXT,2,1,1
ZYCOM,2,2,0
PHL MONARCH CONNECTION,2,1,1
INTEGRA NETWORKS,2,2,0
ALEXA TRANSLATIONS,2,1,1
GARTNER,2,2,0
BELL CANADA,2,2,0
DONNA CONA,2,2,0
RR INTERNATIONAL TRANSLATION SPECIALISTS,2,1,1
SALISBURY CONSULTING,2,1,1
GREY CASGRAIN,2,1,1
LEXISNEXIS CANADA,2,2,0
DR KELLY STRUTHERS MONTFORD,2,1,1
SOFTSIM TECHNOLOGIES,2,1,1
MEDIUMCUBE,2,2,0
SYLVIE LAMOUREUX,2,2,0
TAG HR THE ASSOCIATES GROUP,2,2,0
NORTHERN MICRO,1,1,0
NSW OMBUDSMAN,1,1,0
OSLER HOSKIN HARCOURT,1,1,0
PARKES DEBRA,1,1,0
PETER HADWEN CONSULTING,1,1,0
PLURALSIGHT,1,1,0
PRIVPRO,1,1,0
PROFESSOR MICHAEL A GEIST,1,1,0
PUBLIC POLICY FORUM,1,1,0
REAUME LESLIE,1,1,0
RHEA,1,1,0
ROUTE1,1,1,0
SANSON HART ADR,1,1,0
SDL INTERNATIONAL CANADA,1,1,0
SIGN LANGUAGE INTERPRETING ASSOCIATES OTTAWA,1,1,0
SINGER SAMUEL,1,1,0
SOLUTIA TELECOM,1,1,0
STORMWIND,1,1,0
TBP ASSOCIATES,1,1,0
THE AIM GROUP,1,1,0
TOTEM OFFISOURCE,1,1,0
TRM TECHNOLOGIES,1,1,0
VISIBLE THREAD,1,1,0
LEO PISCES SERVICES GROUP,1,1,0
ACCESSIBIL IT,1,1,0
ADSS 6175015 CANADA,1,1,0
AFFINITY VIDEO PRODUCTION,1,1,0
AHMED ADEKUNLE GARBA,1,1,0
ALDERSON GILL ASSOCIATES,1,1,0
AUTHENTIC VOICE TRAINING AND CONSULTING SERVICES,1,1,0
BDO CANADA,1,1,0
BLACKBERRY,1,1,0
BRITISH COLUMBIA LAW INSTITUTE,1,1,0
CELESTE MCKAY CONSULTING,1,1,0
CISTEL TECHNOLOGY,1,1,0
CONSENSIO SOLUTIONS,1,1,0
CONVERSART,1,1,0
DR AKWASI OWUSU BEMPAH,1,1,0
DUO SECURITY,1,1,0
ECLIPSYS SOLUTIONS,1,1,0
ECOLE DE LANGUES ABCE,1,1,0
ERGO INDUSTRIAL SEATING SYSTEMS,1,1,0
FLAHERTY MICHELLE 8417377 CANADA,1,1,0
GLOBAL UPHOLSTERY,1,1,0
GOSS GILROY,1,1,0
GRAND TOY OTTAWA,1,1,0
GROUPE AEQUITAS,1,1,0
HDP GROUP,1,1,0
HILL KNOWLTON CANADA WPP GROUP CANADA COMMUNICATIONS,1,1,0
HOUSTON RECRUITING SERVICES,1,1,0
IDS SYSTEMS CONSULTANTS,1,1,0
INCLUSIVE MEDIA AND DESIGN,1,1,0
INTERSOL GROUP,1,1,0
KABOOM COMMUNICATION DESIGN,1,1,0
KORN FERRY HAY GROUP,1,1,0
LAURENTIAN TECHNOLOGIES,1,1,0
LAW OFFICE PEARL ELIADIS,1,1,0
2713837 ONTARIO LR DISPUTE RESOLUTION,1,1,0
LEVERAGE TECHNOLOGY RESOURCES,1,1,0
MCRAE DONALD,1,1,0
MKG ASSOCIATES,1,1,0
MODIS CANADA,1,1,0
