source_year,total_original_entries,entries_below_24k,entries_between_24k_and_26k,entries_above_26k,original_sum_below_24k,original_sum_between_24k_and_26k,original_sum_above_26k
2017,29,14,6,9,250267.10,148964.95,1657227.58
2018,55,26,10,19,441482.73,247652.21,1120853.82
2019,85,36,16,33,643722.04,395389.29,2624617.23
