source_year,total_original_entries,entries_below_24k,entries_between_24k_and_26k,entries_above_26k,original_sum_below_24k,original_sum_between_24k_and_26k,original_sum_above_26k
2010,1525,812,179,534,12985931.36,4432135.85,51704272.05
2011,2741,1468,304,969,23617561.75,7532510.00,132570756.05
2012,2124,1120,218,786,17775661.26,5397890.37,157536892.60
2013,1950,935,197,818,15225268.99,4882675.00,134750181.80
2014,1958,903,209,846,14786436.28,5190387.77,448442175.13
2015,1660,798,198,664,12938252.93,4906152.37,137334474.89
2016,1525,729,177,619,11869135.59,4385680.23,117682665.67
2017,697,386,95,216,6476154.83,2352992.65,70172164.73
2018,758,415,94,249,6957186.33,2324459.64,83954633.51
2019,680,351,79,250,5863156.59,1953096.36,208006815.90
