source_year,total_original_entries,entries_below_25k,entries_above_25k,original_sum_below_25k,original_sum_above_25k
2010,15499,7228,8271,118752014.44,4098410689.26
2011,22020,9733,12287,159626314.79,8085402508.20
2012,14027,6140,7887,100626037.55,4881911686.90
2013,14985,6845,8140,111931692.99,4480161975.29
2014,17383,7988,9395,131117991.17,6653321978.02
2015,17267,7905,9362,129814859.71,5736840702.87
2016,10394,4923,5471,79511127.77,3791905648.57
2017,13227,6750,6477,109915235.24,3524840826.98
2018,18362,8872,9490,144564716.08,4841445364.13
2019,15083,8024,7059,126519438.78,9677865188.17
