source_year,total_original_entries,entries_below_24k,entries_between_24k_and_26k,entries_above_26k,original_sum_below_24k,original_sum_between_24k_and_26k,original_sum_above_26k
2010,15499,6723,717,8059,106333091.73,17805822.28,4093023789.69
2011,22020,9086,944,11990,143700661.07,23478819.48,8077849342.44
2012,14027,5759,564,7704,91261257.23,14017555.28,4877258911.94
2013,14985,6421,615,7949,101503841.03,15276360.80,4475313466.45
2014,17383,7426,757,9200,117291581.50,18780082.48,6648368305.21
2015,17267,7353,733,9181,116253217.88,18149661.80,5732252682.90
2016,10394,4607,462,5325,71737751.74,11479890.71,3788199133.89
2017,13227,6247,701,6279,97539078.50,17415025.71,3519801958.01
2018,18362,8240,846,9276,129013430.36,20988869.54,4836007780.31
2019,15083,7593,629,6861,115907738.34,15643978.33,9672832910.28
