vendor_normalized,effective_year,sum_yearly_value
BELL CANADA,2010,637712.00
BELL CANADA,2011,975248.00
BELL CANADA,2012,777845.00
CORPORATE RESEARCH GROUP,2010,37496.00
CORPORATE RESEARCH GROUP,2011,37496.00
CORPORATE RESEARCH GROUP,2012,-14002.00
CORPORATE RESEARCH GROUP,2013,1200510.00
CORPORATE RESEARCH GROUP,2014,1214512.00
EXCEL HUMAN RESOURCES,2010,315000.00
EXCEL HUMAN RESOURCES,2011,13634.00
EXCEL HUMAN RESOURCES,2012,25209.00
EXCEL HUMAN RESOURCES,2013,127602.00
EXCEL HUMAN RESOURCES,2014,19430.00
EXCEL HUMAN RESOURCES,2015,15327.00
EXCEL HUMAN RESOURCES,2016,331952.66
EXCEL HUMAN RESOURCES,2017,295509.06
EXCEL HUMAN RESOURCES,2018,220749.21
EXCEL HUMAN RESOURCES,2019,244376.57
GARTNER,2010,265536.00
GARTNER,2011,84159.00
GARTNER,2012,89609.00
GARTNER,2013,156731.00
GARTNER,2014,64071.00
GARTNER,2016,99947.00
GARTNER,2017,156463.67
GARTNER,2018,261539.31
GARTNER,2019,503835.28
HEWLETT PACKARD,2010,1972324.00
HEWLETT PACKARD,2011,1829779.00
HEWLETT PACKARD,2012,1829779.00
HEWLETT PACKARD,2013,1829779.00
MODIS CANADA,2013,168144.00
MODIS CANADA,2015,269041.00
MODIS CANADA,2016,531100.00
MODIS CANADA,2017,531100.00
MODIS CANADA,2018,349113.50
MODIS CANADA,2019,660993.50
ORACLE CANADA,2010,445631.00
ORACLE CANADA,2011,982273.33
ORACLE CANADA,2012,613483.83
ORACLE CANADA,2013,678471.83
SAS INSTITUTE,2010,1164984.00
SAS INSTITUTE,2011,1104789.00
SAS INSTITUTE,2012,704907.00
SAS INSTITUTE,2013,202849.00
SAS INSTITUTE,2015,390191.00
SAS INSTITUTE,2018,461909.74
SAS INSTITUTE,2019,751532.98
SHI CANADA,2010,319679.00
SHI CANADA,2011,907083.00
SHI CANADA,2012,21978.00
SHI CANADA,2013,191436.00
SYSTEMSCOPE,2013,48816.00
SYSTEMSCOPE,2015,247357.00
SYSTEMSCOPE,2016,1363815.83
SYSTEMSCOPE,2017,1363815.83
SYSTEMSCOPE,2018,1353815.33
