source_year,total_original_entries,entries_below_24k,entries_between_24k_and_26k,entries_above_26k,original_sum_below_24k,original_sum_between_24k_and_26k,original_sum_above_26k
2010,146,74,19,53,1162396.00,468857.00,6475043.00
2011,137,66,30,41,1072700.00,740406.00,4251170.00
2012,76,33,11,32,519379.00,274081.00,2294771.00
2013,22,15,3,4,251675.00,73553.00,317627.00
2014,20,8,4,8,155989.00,99121.00,755853.00
2015,67,44,10,13,660315.00,248027.00,1545110.00
2016,47,25,6,16,345239.32,148115.93,4070480.88
2017,61,40,8,13,586199.07,197109.34,1892702.75
2018,81,45,11,25,649456.69,272177.46,3367196.34
2019,65,41,7,17,572698.16,172422.32,6325838.66
