vendor_normalized,effective_year,sum_yearly_value
ATMOSPHERE COMMUNICATIONS,2016,227516.36
ATMOSPHERE COMMUNICATIONS,2017,227516.36
BELL CANADA,2013,192963.67
BELL CANADA,2014,192963.67
BELL CANADA,2015,192963.67
COUGHLIN ASSOCIATES IN TRUST FOR CCA,2010,504904.51
COUGHLIN ASSOCIATES IN TRUST FOR CCA,2011,504904.51
COUGHLIN ASSOCIATES IN TRUST FOR CCA,2012,574232.71
COUGHLIN ASSOCIATES IN TRUST FOR CCA,2013,1184202.89
COUGHLIN ASSOCIATES IN TRUST FOR CCA,2014,609970.18
COUGHLIN ASSOCIATES IN TRUST FOR CCA,2015,12500.00
COUGHLIN ASSOCIATES IN TRUST FOR CCA,2016,12500.00
COUGHLIN ASSOCIATES IN TRUST FOR CCA,2017,12500.00
COUGHLIN ASSOCIATES IN TRUST FOR CCA,2018,12500.00
DELOITTE AND TOUCHE,2010,107931.22
DELOITTE AND TOUCHE,2011,61250.00
DELOITTE AND TOUCHE,2012,10250.00
DELOITTE AND TOUCHE,2013,95052.23
DELOITTE AND TOUCHE,2014,150198.50
DELOITTE AND TOUCHE,2015,107030.00
DELOITTE AND TOUCHE,2016,486391.00
DELOITTE AND TOUCHE,2017,3224639.50
DOUGLAS CARDINAL ARCHITECT,2017,166666.67
DOUGLAS CARDINAL ARCHITECT,2018,166666.67
DOUGLAS CARDINAL ARCHITECT,2019,166666.67
EDWARD J CUHACI ASSOCIATES ARCHITECTS,2012,146516.49
EDWARD J CUHACI ASSOCIATES ARCHITECTS,2013,146516.49
EDWARD J CUHACI ASSOCIATES ARCHITECTS,2014,118478.87
IDS SYSTEMS,2014,6355.63
IDS SYSTEMS,2015,6355.63
IDS SYSTEMS,2016,181047.73
IDS SYSTEMS,2017,597397.73
NATIONAL GALLERY OF CANADA,2016,25000.00
NATIONAL GALLERY OF CANADA,2017,529500.00
NATIONAL GALLERY OF CANADA,2018,500000.00
POETRY IN VOICE,2017,150000.00
POETRY IN VOICE,2018,150000.00
POETRY IN VOICE,2019,150000.00
THE CANADIAN COALITION OF INDEPENDENT MEDIA ARTS DISTRIBUTORS CCIMAD,2014,415000.00
THE CANADIAN COALITION OF INDEPENDENT MEDIA ARTS DISTRIBUTORS CCIMAD,2015,415000.00
