vendor_normalized,effective_year,sum_yearly_value
BRIGDEN CATHERINE,2010,27268.60
BRIGDEN CATHERINE,2011,62971.67
BRIGDEN CATHERINE,2012,62052.92
BRIGDEN CATHERINE,2013,193456.93
BRIGDEN CATHERINE,2014,159612.63
BRIGDEN CATHERINE,2015,34851.30
BRIGDEN CATHERINE,2016,29953.38
BRIGDEN CATHERINE,2017,18000.00
BRIGDEN CATHERINE,2018,18000.00
CANADIAN CORPS OF COMMISSIONAIRES,2010,167560.12
CANADIAN CORPS OF COMMISSIONAIRES,2011,125598.09
CANADIAN CORPS OF COMMISSIONAIRES,2012,78753.43
CANADIAN CORPS OF COMMISSIONAIRES,2013,46758.99
CANADIAN CORPS OF COMMISSIONAIRES,2014,61102.32
CANADIAN CORPS OF COMMISSIONAIRES,2015,62381.76
CANADIAN CORPS OF COMMISSIONAIRES,2016,63637.28
CANADIAN CORPS OF COMMISSIONAIRES,2017,76299.94
CANADIAN CORPS OF COMMISSIONAIRES,2018,92844.61
CANADIAN CORPS OF COMMISSIONAIRES,2019,124377.78
COFOMO,2010,18191.25
COFOMO,2012,32500.00
COFOMO,2013,111522.32
COFOMO,2014,189889.75
COFOMO,2015,274383.52
COFOMO,2016,406747.80
COFOMO,2017,79073.35
ENSEIGNES PATTISON SIGN GROUP,2010,345944.37
ENSEIGNES PATTISON SIGN GROUP,2011,78371.62
ENSEIGNES PATTISON SIGN GROUP,2013,108948.89
ENSEIGNES PATTISON SIGN GROUP,2017,74658.51
FREEBALANCE,2010,413656.45
FREEBALANCE,2011,433765.00
FREEBALANCE,2012,427405.79
FREEBALANCE,2013,275214.23
FREEBALANCE,2014,362640.15
FREEBALANCE,2015,303324.53
FREEBALANCE,2016,78711.15
FREEBALANCE,2017,634305.67
FREEBALANCE,2018,362657.87
FREEBALANCE,2019,457932.93
GARTNER,2016,103379.78
GARTNER,2017,115745.34
GARTNER,2018,183037.33
GARTNER,2019,259387.63
MICROAGE,2010,175668.54
MICROAGE,2011,74914.71
MICROAGE,2012,77889.49
MICROAGE,2013,93833.04
MICROAGE,2014,92750.73
MICROAGE,2016,42744.79
ORACLE CANADA,2010,160438.48
ORACLE CANADA,2011,205605.33
ORACLE CANADA,2012,291106.45
ORACLE CANADA,2013,188309.32
ORACLE CANADA,2014,157859.50
ORACLE CANADA,2015,227035.53
ORACLE CANADA,2016,218675.02
ORACLE CANADA,2017,205372.73
ORACLE CANADA,2018,209524.46
ORACLE CANADA,2019,106917.40
SOLOTECH,2015,56770.43
SOLOTECH,2017,214217.66
SOLOTECH,2018,293770.29
SOLOTECH,2019,84205.09
TELUS CANADA,2010,473904.12
TELUS CANADA,2011,66995.33
TELUS CANADA,2012,47093.86
TELUS CANADA,2018,37553.43
