source_year,total_original_entries,entries_below_24k,entries_between_24k_and_26k,entries_above_26k,original_sum_below_24k,original_sum_between_24k_and_26k,original_sum_above_26k
2010,5896,3342,208,2346,48895143.14,5175153.09,545824019.03
2011,5031,3108,170,1753,43888998.26,4223472.17,314871426.23
2012,4810,3017,159,1634,42142777.49,3954930.42,264915388.49
2013,4427,2751,144,1532,37751575.54,3575538.51,255014694.26
2014,4633,2869,139,1625,38661528.73,3456785.69,597730926.72
2015,3516,2072,99,1345,27782481.97,2465184.43,852271649.72
2016,6231,3378,224,2629,47405506.33,5564032.07,644331506.93
2017,5830,2743,304,2783,41867372.57,7563527.28,694696870.21
2018,5419,2579,279,2561,39624246.01,6927712.83,1197714754.70
2019,5615,2554,289,2772,39998148.79,7214291.67,567387654.93
