source_year,total_original_entries,entries_below_25k,entries_above_25k,original_sum_below_25k,original_sum_above_25k
2010,5896,3447,2449,51468651.20,548425664.06
2011,5031,3205,1826,46265654.38,316718242.28
2012,4810,3104,1706,44276429.41,266736666.99
2013,4427,2835,1592,39807765.17,256534043.14
2014,4633,2951,1682,40673006.06,599176235.08
2015,3516,2124,1392,29057861.42,853461454.70
2016,6231,3524,2707,50987371.16,646313674.17
2017,5830,2955,2875,47082507.62,697045262.44
2018,5419,2779,2640,44540837.26,1199725876.28
2019,5615,2731,2884,44355234.95,570244860.44
