vendor_normalized,effective_year,sum_yearly_value
ALLIED SHIPBUILDERS,2010,48800545.87
ALLIED SHIPBUILDERS,2011,7117390.85
ALLIED SHIPBUILDERS,2012,2994330.67
ALLIED SHIPBUILDERS,2013,4206076.65
ALLIED SHIPBUILDERS,2014,7888096.83
ALLIED SHIPBUILDERS,2015,5838852.50
ALLIED SHIPBUILDERS,2016,6114588.18
ALLIED SHIPBUILDERS,2017,2200140.68
ALLIED SHIPBUILDERS,2018,10621508.31
ALLIED SHIPBUILDERS,2019,12703894.93
BELL TEXTRON,2015,140475839.63
BELL TEXTRON,2016,82641721.82
CHANTIER DAVIE CANADA,2015,21277966.28
CHANTIER DAVIE CANADA,2016,14686944.17
CHANTIER DAVIE CANADA,2017,38705733.20
CHANTIER DAVIE CANADA,2018,475968368.34
CHANTIER DAVIE CANADA,2019,-13272739.22
HIKE METAL PRODUCTS,2015,51022767.76
HIKE METAL PRODUCTS,2016,70905213.67
HIKE METAL PRODUCTS,2017,70905213.67
HIKE METAL PRODUCTS,2018,-8334908.22
HIKE METAL PRODUCTS,2019,34859349.00
IRVING OIL,2010,5957018.72
IRVING OIL,2011,15473500.34
IRVING OIL,2012,16198311.83
IRVING OIL,2013,25683438.82
IRVING OIL,2014,28048216.03
IRVING OIL,2015,14082528.12
IRVING OIL,2016,7430893.22
IRVING OIL,2017,14950396.00
IRVING OIL,2018,30749133.47
IRVING OIL,2019,17521269.25
IRVING SHIPBUILDING,2011,52704286.78
IRVING SHIPBUILDING,2012,140228631.89
IRVING SHIPBUILDING,2013,145934508.61
IRVING SHIPBUILDING,2014,15344397.34
IRVING SHIPBUILDING,2015,15344397.34
IRVING SHIPBUILDING,2019,8612598.86
NAVTECH,2010,83665.00
NAVTECH,2011,21275.00
NAVTECH,2012,110876.75
NAVTECH,2013,130843.23
NAVTECH,2014,88696.00
NAVTECH,2015,132055.28
NAVTECH,2016,8975.00
NAVTECH,2017,241096.83
NAVTECH,2018,317826.04
NAVTECH,2019,541480973.35
NEWDOCK ST JOHN S DOCKYARD,2010,21497186.91
NEWDOCK ST JOHN S DOCKYARD,2011,9716745.64
NEWDOCK ST JOHN S DOCKYARD,2012,12543462.04
NEWDOCK ST JOHN S DOCKYARD,2013,18516811.46
NEWDOCK ST JOHN S DOCKYARD,2014,9844858.63
NEWDOCK ST JOHN S DOCKYARD,2015,10419353.21
NEWDOCK ST JOHN S DOCKYARD,2016,8954669.05
NEWDOCK ST JOHN S DOCKYARD,2017,26577800.72
NEWDOCK ST JOHN S DOCKYARD,2018,15627147.57
NEWDOCK ST JOHN S DOCKYARD,2019,37561504.44
PAL AEROSPACE,2010,19800677.23
PAL AEROSPACE,2011,35146590.44
PAL AEROSPACE,2012,17953730.73
PAL AEROSPACE,2013,18035352.65
PAL AEROSPACE,2014,4823754.05
PAL AEROSPACE,2015,4823754.05
PAL AEROSPACE,2016,4823754.05
PAL AEROSPACE,2017,20762855.10
PAL AEROSPACE,2018,25065390.84
PAL AEROSPACE,2019,25862892.44
VANCOUVER SHIPYARDS,2010,759294.41
VANCOUVER SHIPYARDS,2011,72922.00
VANCOUVER SHIPYARDS,2012,1088450.00
VANCOUVER SHIPYARDS,2013,7497101.66
VANCOUVER SHIPYARDS,2014,82850446.19
VANCOUVER SHIPYARDS,2015,44794280.16
VANCOUVER SHIPYARDS,2016,12629346.06
VANCOUVER SHIPYARDS,2017,191594565.87
VANCOUVER SHIPYARDS,2018,107436560.45
VANCOUVER SHIPYARDS,2019,66806194.95
