owner_acronym,sum_effective_value
ssc,378858805.06
pspc,144630607.48
esdc,12379829.33
pco,1494793.19
gac,1187483.23
elections,1121606.74
rcmp,1030277.99
ircc,888441.69
ps,755580.31
csc,751509.41
fin,459215.66
cer,431394.46
tbs,421517.87
pc,282500.00
fja,240881.53
pch,208037.04
ic,152534.98
phac,151165.75
nserc,147409.06
cbsa,137252.40
osgg,110822.18
fcac,97644.05
hc,82009.75
oag,71934.00
nrcan,67743.50
acoa,67275.00
cra,49509.26
cc,44999.09
nrc,41687.50
vac,35768.50
cnsc,32762.41
fintrac,25304.00
ec,24000.00
dfo,23694.28
stats,20842.50
crtc,20631.51
atssc,11323.64
dnd,-64789.48
