owner_acronym,total_entries,total_contracts,total_amendments
cra,399,379,20
ssc,178,170,8
dnd,74,72,2
rcmp,40,40,0
dfo,36,35,1
tc,18,18,0
cbsa,10,10,0
phac,10,10,0
pspc,8,8,0
ec,8,8,0
cgc,8,8,0
hc,8,8,0
gac,6,6,0
cnsc,5,5,0
csc,5,5,0
stats,4,4,0
ic,3,3,0
nrcan,3,3,0
tbs,2,1,1
ircc,2,2,0
nbc,1,1,0
elections,1,1,0
inac,1,1,0
lac,1,1,0
csa,1,1,0
pc,1,1,0
cfia,1,1,0
psc,1,0,1
cihr,1,1,0
