owner_acronym,sum_effective_value
dnd,964084126.75
csa,9476250.72
pco,1657637.65
pspc,1651004.78
tc,826725.07
nrc,438564.45
ssc,310809.37
fin,306236.10
dfo,295962.79
rcmp,211270.17
cbsa,156701.65
ps,97293.51
tsb,29532.71
ec,29501.46
phac,19415.90
hc,19415.90
esdc,11012.36
