owner_acronym,sum_effective_value
ssc,951449341.31
pspc,519511083.77
dnd,228072709.33
rcmp,47238288.50
esdc,46080366.93
cra,12185503.56
ircc,4659397.21
tc,3965174.29
crtc,3334662.84
gac,2844907.79
dfo,2666651.72
cas,1641905.37
pc,1552962.16
cnsc,1336776.89
osfi,1296243.52
ps,1020395.22
cbsa,900948.03
csps,868998.80
pco,786379.89
ec,729015.72
ced,625546.74
just,560064.58
ic,503769.90
csc,478148.18
tbs,478042.75
phac,439837.22
fin,410151.60
hc,311050.47
pch,301126.92
pbc,248677.00
nrc,240115.53
psc,234905.00
agr,157501.46
inac,127754.67
stats,122925.00
nrcan,106988.98
oag,91284.44
csa,57580.92
vac,56612.29
ppsc,55731.60
nfb,48910.27
atssc,33718.41
cics,17017.80
cfia,14616.00
fja,10000.00
