owner_acronym,sum_effective_value
dnd,201207409.94
nrcan,70812484.15
vac,19000237.53
ssc,16990609.74
ircc,12803892.14
csa,11407764.10
csc,10350107.10
pptc,7934064.49
esdc,6929577.37
gac,6709958.72
cra,6695266.31
hc,6640420.90
cbsa,6008958.91
phac,5469435.02
tc,3771935.67
dfo,2630664.44
pspc,2469883.71
rcmp,2338211.05
ic,2022077.16
inac,1992970.46
pch,1919564.47
cnsc,1670225.53
nrc,1367439.76
ec,1146535.32
agr,752525.05
tbs,674565.71
elections,653977.80
isc,538144.77
cfia,471776.00
pc,259412.34
ps,234237.70
infra,127938.60
osfi,109418.13
fin,94983.15
pco,84527.39
cas,67483.18
ppsc,65979.51
osgg,58896.50
atssc,49733.23
csps,28984.50
fcac,21989.80
cgc,12266.59
just,11752.00
