gen_vendor_normalized,total_entries,total_contracts,total_amendments
ASOKAN SOLUTIONS DE BUREAU,55,54,1
TELUS CANADA,49,45,4
ABI ADVANCED BUSINESS INTERIORS,45,40,5
VERITAAQ TECHNOLOGY HOUSE,45,10,35
ALTIS HUMAN RESOURCES,32,12,20
CANADIAN CORPS OF COMMISSIONAIRES,22,19,3
BDO CANADA,20,7,13
IBISKA TELECOM,19,3,16
DEMENAGEMENT SLBL MOVING,19,15,4
NISHA TECHONOLOGIES,19,19,0
EXCEL HUMAN RESOURCES,19,7,12
SOFTCHOICE,18,18,0
VANTAGE VENUES,16,16,0
CONEXSYS,16,14,2
BLOOMBERG FINANCE,16,7,9
ADVANCED BUSINESS INTERIORS,15,15,0
COFOMO,15,4,11
SHARP ELECTRONICS,15,14,1
TERAMACH TECHNOLOGIES,13,10,3
TRM TECHNOLOGIES,13,4,9
ITEX,13,11,2
FLEMING COMMUNICATIONS,13,7,6
STONEWORKS TECHNOLOGIES,11,9,2
JUNO RISK SOLUTIONS,11,3,8
BRC BUSINESS ENTREPRISES,11,9,2
SAS INSTITUTE,10,10,0
MARBERG,10,6,4
ERGO INDUSTRIAL SEATING SYSTEMS,10,7,3
SHERATON CENTER TORONTO,10,9,1
HAWORTH,10,10,0
LEE HECHT HARRISON,9,3,6
INTEGRA NETWORKS,9,4,5
MICROSOFT CANADA,9,6,3
CALIAN,9,9,0
TURTLE ISLAND STAFFING,8,5,3
CGI,8,3,5
IBM CANADA,8,6,2
SI SYSTEMS,8,2,6
DELOITTE AND TOUCHE,7,5,2
KIFINTI SOLUTIONS,7,3,4
TELECOM COMPUTER SERVICES,7,6,1
ALLIANCE FRANCAISE DE TORONTO,7,4,3
FAIRMONT CHATEAU LAURIER,7,7,0
PRICEWATERHOUSE COOPERS,7,3,4
ODGERS BERNDTSON CANADA,7,5,2
DAVID ANTHONY PEACH,6,3,3
HAY GROUP,6,3,3
ASL CONSULTING,6,4,2
D DOYLE INSTALLATIONS,6,3,3
HR ASSOCIATES,6,4,2
GARTNER,6,6,0
PSAV,6,6,0
MACKINNON CHARLTON,5,2,3
DELL COMPUTER,5,4,1
MOODYS ANALYTICS,5,3,2
PLAN GROUP,5,5,0
EVENTS AT ONE KING WEST,5,4,1
BURKE CADER MEDIA STRATEGIES,5,2,3
PROSCI CANADA,5,5,0
RAYMOND CHABOT GRANT THORNTON,5,2,3
RIDEAU RECOGNITION SOLUTIONS,5,4,1
GILLILAND GOLD YOUNG,5,1,4
HYPERTEC,5,5,0
INJURY PREVENTION PLUS,5,5,0
WINKLEVOSS TECHNOLOGY,5,3,2
