vendor_normalized,effective_year,sum_yearly_value
ACCENTURE,2018,1092954.83
ACCENTURE,2019,7825027.28
ALTIS HUMAN RESOURCES,2016,370339.42
ALTIS HUMAN RESOURCES,2017,607045.77
ALTIS HUMAN RESOURCES,2018,445072.82
ALTIS HUMAN RESOURCES,2019,392927.30
CGI,2014,299198.13
CGI,2015,526511.76
CGI,2016,354499.19
CGI,2017,344414.58
CGI,2018,344414.58
CGI,2019,344414.58
COFOMO,2016,265756.79
COFOMO,2017,225343.76
COFOMO,2018,163497.73
COFOMO,2019,1003299.13
MICROSOFT CANADA,2016,291223.60
MICROSOFT CANADA,2017,493309.22
MICROSOFT CANADA,2018,663885.03
MICROSOFT CANADA,2019,828184.96
MOODYS ANALYTICS,2016,270546.68
MOODYS ANALYTICS,2017,446402.55
MOODYS ANALYTICS,2018,735303.02
MOODYS ANALYTICS,2019,380591.94
NISHA TECHONOLOGIES,2016,399356.43
NISHA TECHONOLOGIES,2017,322711.69
NISHA TECHONOLOGIES,2018,278849.87
NISHA TECHONOLOGIES,2019,612093.98
STONEWORKS TECHNOLOGIES,2016,58238.17
STONEWORKS TECHNOLOGIES,2017,91353.37
STONEWORKS TECHNOLOGIES,2018,1533421.58
STONEWORKS TECHNOLOGIES,2019,512036.66
TERAMACH TECHNOLOGIES,2013,29179.30
TERAMACH TECHNOLOGIES,2014,29179.30
TERAMACH TECHNOLOGIES,2015,29179.30
TERAMACH TECHNOLOGIES,2016,48965.38
TERAMACH TECHNOLOGIES,2017,339791.55
TERAMACH TECHNOLOGIES,2018,418018.66
TERAMACH TECHNOLOGIES,2019,809682.26
VERITAAQ TECHNOLOGY HOUSE,2014,387338.61
VERITAAQ TECHNOLOGY HOUSE,2015,707161.74
VERITAAQ TECHNOLOGY HOUSE,2016,212096.86
VERITAAQ TECHNOLOGY HOUSE,2017,1665267.34
VERITAAQ TECHNOLOGY HOUSE,2018,2895521.95
VERITAAQ TECHNOLOGY HOUSE,2019,3726547.73
