owner_acronym,sum_effective_value
cra,89014829.80
ircc,36962995.91
cbsa,19951907.51
ssc,13807378.06
gac,7826576.66
dnd,5174315.06
ec,4735714.36
esdc,3433908.30
tbs,2485510.61
ic,2449007.86
cnsc,2366396.14
pspc,1913287.09
cfia,1288301.70
hc,1250189.82
phac,849673.47
elections,676325.40
ps,537487.08
nrc,425800.40
osgg,345455.69
tc,327671.97
just,327457.63
atssc,300342.70
psc,246276.45
dfo,217994.85
nrcan,167675.64
cta,156878.40
agr,148527.20
ppsc,127715.13
pc,103193.33
cihr,100172.00
cc,97350.00
rcmp,93614.44
fintrac,90408.99
pbc,87757.00
nfb,79493.13
cer,59793.28
csps,58675.28
inac,42592.91
pco,37666.67
vac,26701.00
iaac,21891.77
stats,12250.00
oto,11775.83
isc,10615.50
