source_year,total_original_entries,entries_below_24k,entries_between_24k_and_26k,entries_above_26k,original_sum_below_24k,original_sum_between_24k_and_26k,original_sum_above_26k
2010,34,24,0,10,369478.05,0.00,827197.09
2011,32,28,1,3,461281.31,24975.00,256195.30
2012,48,40,0,8,648738.59,0.00,428220.35
2013,52,29,0,23,483452.25,0.00,1931911.05
2014,18,9,2,7,137326.72,49175.00,526002.00
2015,7,4,0,3,64940.33,0.00,260836.49
2016,55,26,7,22,438739.36,175080.70,1713164.64
2017,23,10,4,9,180983.05,99127.24,706392.55
2018,70,32,9,29,501074.17,222863.66,2917279.32
2019,69,38,9,22,620828.66,222623.54,2024355.10
