owner_acronym,sum_effective_value
ssc,1028592363.99
esdc,297799876.84
cra,78714565.18
dfo,27663783.49
stats,26978772.88
dnd,24400238.12
rcmp,21388304.93
ircc,12634275.43
gac,11909819.37
ec,10594228.08
pspc,9625628.68
agr,8878010.95
tbs,8704147.98
ps,7973311.01
nrc,6924745.58
phac,6501353.77
elections,6270663.47
csc,5961733.32
hc,5750653.15
just,5190113.78
tc,5122436.82
pch,4421385.86
pc,4382325.19
cfia,4303242.63
pptc,4261333.43
fin,3925172.83
pco,3240494.48
lac,2914530.59
ic,2910853.22
acoa,2785562.64
nrcan,2485870.26
oag,2001561.99
cbsa,1911812.24
osfi,1741399.95
infra,1227807.72
inac,1207893.58
cnsc,1096820.22
fintrac,835120.94
cihr,806647.78
csa,780420.39
cer,530783.08
atssc,503535.41
fcac,477509.64
ced,375416.45
psc,308704.08
crtc,281591.32
cta,269899.59
ocol,238030.22
nfb,238025.64
nserc,236568.53
csps,210083.63
chrc,186587.87
irb,178094.99
tsb,175488.74
oic,169037.58
opc,165287.10
isc,128206.11
cgc,115373.62
wd,94686.77
vac,94474.57
mgerc,72015.93
fja,53417.01
ijc,47005.15
cas,28704.66
osgg,26629.43
wage,24784.52
sirc,18957.02
ocl,8750.01
