gen_vendor_normalized,source_year,total_entries,total_contracts,total_amendments
CANADIAN CORPS OF COMMISSIONAIRES,2010,6,6,0
CANADIAN CORPS OF COMMISSIONAIRES,2011,3,3,0
CANADIAN CORPS OF COMMISSIONAIRES,2013,5,5,0
CANADIAN CORPS OF COMMISSIONAIRES,2014,5,5,0
CANADIAN CORPS OF COMMISSIONAIRES,2015,6,6,0
CANADIAN CORPS OF COMMISSIONAIRES,2016,7,4,3
CANADIAN CORPS OF COMMISSIONAIRES,2017,5,3,2
CANADIAN CORPS OF COMMISSIONAIRES,2018,4,3,1
CANADIAN CORPS OF COMMISSIONAIRES,2019,6,5,1
CIMAISE,2010,9,9,0
CIMAISE,2013,11,11,0
CIMAISE,2014,8,8,0
CIMAISE,2015,6,6,0
CIMAISE,2016,8,8,0
CIMAISE,2017,5,5,0
CIMAISE,2018,1,1,0
CIMAISE,2019,4,4,0
HONEYWELL,2010,4,4,0
HONEYWELL,2011,6,6,0
HONEYWELL,2012,1,1,0
HONEYWELL,2013,2,2,0
HONEYWELL,2014,4,4,0
HONEYWELL,2015,6,6,0
HONEYWELL,2016,6,6,0
HONEYWELL,2017,15,5,10
HONEYWELL,2018,4,1,3
HONEYWELL,2019,6,3,3
KABOOM,2011,6,6,0
KABOOM,2012,4,4,0
KABOOM,2013,9,9,0
KABOOM,2014,7,7,0
KABOOM,2015,5,5,0
KABOOM,2016,6,6,0
KABOOM,2017,3,3,0
KABOOM,2018,4,4,0
KABOOM,2019,1,1,0
LANSDOWNE TECHNOLOGIES,2010,6,6,0
LANSDOWNE TECHNOLOGIES,2011,8,8,0
LANSDOWNE TECHNOLOGIES,2012,6,6,0
LANSDOWNE TECHNOLOGIES,2013,8,8,0
LANSDOWNE TECHNOLOGIES,2014,13,13,0
LANSDOWNE TECHNOLOGIES,2015,12,12,0
LANSDOWNE TECHNOLOGIES,2016,2,2,0
LANSDOWNE TECHNOLOGIES,2017,6,5,1
LANSDOWNE TECHNOLOGIES,2018,2,2,0
LANSDOWNE TECHNOLOGIES,2019,4,4,0
MACDONALD DETTWILER AND ASSOCIATES,2010,9,9,0
MACDONALD DETTWILER AND ASSOCIATES,2011,14,14,0
MACDONALD DETTWILER AND ASSOCIATES,2012,15,15,0
MACDONALD DETTWILER AND ASSOCIATES,2013,12,12,0
MACDONALD DETTWILER AND ASSOCIATES,2014,18,18,0
MACDONALD DETTWILER AND ASSOCIATES,2015,9,9,0
MACDONALD DETTWILER AND ASSOCIATES,2016,19,17,2
MACDONALD DETTWILER AND ASSOCIATES,2017,24,10,14
MACDONALD DETTWILER AND ASSOCIATES,2018,15,4,11
MACDONALD DETTWILER AND ASSOCIATES,2019,14,5,9
NEPTEC DESIGN GROUP,2010,6,6,0
NEPTEC DESIGN GROUP,2011,1,1,0
NEPTEC DESIGN GROUP,2012,5,5,0
NEPTEC DESIGN GROUP,2013,3,3,0
NEPTEC DESIGN GROUP,2014,5,5,0
NEPTEC DESIGN GROUP,2015,7,7,0
NEPTEC DESIGN GROUP,2016,5,4,1
NEPTEC DESIGN GROUP,2017,8,7,1
NEPTEC DESIGN GROUP,2018,3,2,1
NEPTEC DESIGN GROUP,2019,2,0,2
NISHA TECHONOLOGIES,2010,19,19,0
NISHA TECHONOLOGIES,2011,16,16,0
NISHA TECHONOLOGIES,2012,6,6,0
NISHA TECHONOLOGIES,2013,8,8,0
NISHA TECHONOLOGIES,2014,8,8,0
NISHA TECHONOLOGIES,2015,6,6,0
NISHA TECHONOLOGIES,2016,3,3,0
NISHA TECHONOLOGIES,2017,7,7,0
NISHA TECHONOLOGIES,2018,4,4,0
NISHA TECHONOLOGIES,2019,14,14,0
RICOH,2010,7,7,0
RICOH,2011,4,4,0
RICOH,2012,4,4,0
RICOH,2013,9,9,0
RICOH,2014,4,4,0
RICOH,2015,6,6,0
RICOH,2016,3,3,0
RICOH,2017,3,3,0
RICOH,2018,5,5,0
RICOH,2019,10,10,0
ROCHON EXPERTS CONSEILS,2010,6,6,0
ROCHON EXPERTS CONSEILS,2011,4,4,0
ROCHON EXPERTS CONSEILS,2012,7,7,0
ROCHON EXPERTS CONSEILS,2013,5,5,0
ROCHON EXPERTS CONSEILS,2014,3,3,0
ROCHON EXPERTS CONSEILS,2015,10,10,0
ROCHON EXPERTS CONSEILS,2016,6,6,0
ROCHON EXPERTS CONSEILS,2017,12,12,0
ROCHON EXPERTS CONSEILS,2018,4,2,2
ROCHON EXPERTS CONSEILS,2019,11,11,0
