owner_acronym,sum_effective_value
ssc,66388708.30
dnd,43856789.39
osgg,10553205.90
stats,3031777.08
rcmp,2914540.44
tbs,1939096.91
esdc,558329.57
ps,391940.69
pspc,347317.44
ic,205899.50
fin,199050.80
tc,197013.00
cfia,196573.00
gac,188000.42
pco,174033.56
osfi,173943.20
cas,168630.61
atssc,150748.96
dfo,122623.93
cta,73100.66
just,66827.82
cbsa,58973.39
nserc,56989.30
crtc,49171.14
psc,44569.00
nrc,39974.00
csa,37822.66
phac,37696.80
cgc,27851.00
mgerc,27688.20
oic,23403.48
fja,23263.73
hc,18848.40
cra,17998.64
pch,14911.11
cpc,10599.14
fintrac,10415.57
