owner_acronym,total_entries,total_contracts,total_amendments
dnd,160,153,7
ssc,139,75,64
rcmp,29,27,2
ps,13,13,0
gac,7,7,0
cbsa,5,4,1
pspc,5,5,0
cas,5,5,0
just,5,4,1
crtc,4,4,0
stats,4,3,1
osfi,4,3,1
cta,4,4,0
atssc,4,4,0
tbs,3,3,0
nrc,3,3,0
ic,3,3,0
tc,2,2,0
cfia,2,2,0
cra,2,2,0
dfo,2,2,0
esdc,2,2,0
hc,2,2,0
mgerc,2,2,0
nserc,2,2,0
oic,1,1,0
osgg,1,1,0
pc,1,1,0
pco,1,1,0
phac,1,1,0
inac,1,1,0
fja,1,1,0
fintrac,1,1,0
fin,1,1,0
cpc,1,1,0
cgc,1,1,0
agr,1,1,0
