gen_vendor_normalized,total_entries,total_contracts,total_amendments
CANADIAN HEALTH CARE AGENCY,1848,677,1171
ONTARIO DENTAL ASSOCIATION,618,179,439
EXCEL HUMAN RESOURCES,580,414,166
XEROX,371,310,61
AGILENT,275,258,17
ALTIS HUMAN RESOURCES,253,199,54
VENTURE HEALTHCARE,226,155,71
BAYSHORE HEALTHCARE,223,163,60
MASHA KRUPP TRANSLATION,210,102,108
SOLUTIONS STAFFING,208,124,84
WATERS,195,191,4
CARDINAL HEALTH CANADA,193,183,10
RICOH,190,160,30
QUANTUM MANAGEMENT SERVICES,170,136,34
ACADAMIE DE FORMATION LINGUISTIQUE,162,124,38
CANADIAN CORPS OF COMMISSIONAIRES,144,101,43
FISHER SCIENTIFIC,144,136,8
LIONBRIDGE,140,85,55
CANON,137,123,14
MCKESSON CANADA,135,129,6
COSSETTE COMMUNICATIONS,110,89,21
TAG HR,107,79,28
NORTHERN MICRO,104,100,4
FISHER SCIENTIFIC COMPANY,98,96,2
QMR,95,65,30
TURTLE ISLAND STAFFING,94,68,26
THE AIM GROUP,92,56,36
DYNAMIC PERSONNEL CONSULTANTS,89,64,25
TEKNION,89,89,0
INDIGENOUS HEALTH GROUP,88,87,1
THERMO FISHER SCIENTIFIC,86,86,0
ADIRONDACK TECHNOLOGIES FURNITURE,86,83,3
MULTI OPTIONS NURSING,85,53,32
NISHA TECHONOLOGIES,84,79,5
RISK SCIENCES INTERNATIONAL,84,78,6
6256253 MANITOBA,84,83,1
VWR INTERNATIONAL,80,76,4
CALIAN,74,39,35
PROLOGIC SYSTEMS,72,54,18
CACHE COMPUTER CONSULTING,69,35,34
LIFE TECHNOLOGIES,69,66,3
RTG PROTECH,69,43,26
SOLUTIONS NURSING LFC,68,38,30
FORD MOTOR COMPANY,68,63,5
FAST FORWARD FRENCH,67,53,14
MAXSYS STAFFING AND CONSULTING,67,47,20
IMPERIAL OIL,66,64,2
SANOFI PASTEUR,65,57,8
GENESIS INTEGRATION,65,63,2
DRAKE MEDOX HEALTH SERVICES,65,58,7
PWGSC,63,54,9
IBM CANADA,63,59,4
SOCIETE GAMMA,59,39,20
IDEXX LABORATORIES CANADA,59,57,2
INSTRUX MEDIA,58,56,2
BRUKER,55,51,4
CANADA POST,54,46,8
MULTI OPTIONS,54,29,25
KNOWLEDGE CIRCLE LEARNING,54,51,3
TOTEM OFFISOURCE,53,51,2
SANEXEN SERVICES ENVIRONNEMENTAUX,52,50,2
ADVANCED BUSINESS INTERIORS,52,51,1
SHARP ELECTRONICS,52,45,7
ECOLE DE LANGUES LA CITE,51,47,4
HENRY SCHEIN CANADA,51,49,2
SUBARU CANADA,50,46,4
PRINTERS PLUS,48,41,7
CMG OFFICE INTERIORS,47,45,2
CISTEL TECHNOLOGY,46,32,14
ILLUMINA CANADA,44,42,2
QIAGEN,44,43,1
IRON MOUNTAIN CANADA,42,32,10
MICROSOFT CANADA,41,35,6
GLAXOSMITHKLINE,41,34,7
SINCLAIR DENTAL COMPANY,41,41,0
SI SYSTEMS,41,22,19
ESBE SCIENTIFIC,40,36,4
EVALUATION PERSONNEL,39,34,5
GAMBLE TECHNOLOGIES,38,37,1
NEWS CANADA,38,37,1
ISE,36,35,1
MAXSYS PROFESSIONALS AND SOLUTIONS,36,29,7
TETRA TECH SCIENCES INTERNATIONAL,36,35,1
ARTEMP PERSONNEL SERVICES,35,27,8
