source_year,total_original_entries,entries_below_24k,entries_between_24k_and_26k,entries_above_26k,original_sum_below_24k,original_sum_between_24k_and_26k,original_sum_above_26k
2010,1527,812,180,535,12985931.36,4456430.85,51737042.05
2011,2740,1468,303,969,23617561.75,7508215.00,132570756.05
2012,2127,1122,218,787,17799918.27,5397890.37,157568652.60
2013,1953,936,197,820,15236768.99,4882675.00,134820831.80
2014,1958,903,209,846,14786436.28,5190387.77,448442175.13
2015,1660,798,198,664,12938252.93,4906152.37,137334474.89
2016,1678,781,192,705,12629471.57,4761331.90,151508814.54
2017,1443,661,174,608,10782019.57,4310098.37,116093868.22
2018,1422,630,176,616,10448049.64,4365533.58,91416283.59
2019,1159,503,148,508,8110185.94,3663087.07,103028305.48
