source_year,total_original_entries,entries_below_25k,entries_above_25k,original_sum_below_25k,original_sum_above_25k
2010,1527,958,569,16581622.37,52597781.89
2011,2740,1731,1009,30107406.24,133589126.56
2012,2127,1299,828,22156955.24,158609506.00
2013,1953,1096,857,19179498.46,135760777.33
2014,1958,1076,882,19058862.31,449360136.87
2015,1660,972,688,17236173.01,137942707.18
2016,1678,946,732,16705729.86,152193888.15
2017,1443,811,632,14486831.70,116699154.46
2018,1422,792,630,14457397.16,91772469.65
2019,1159,638,521,11442785.77,103358792.72
