source_year,total_original_entries,entries_below_25k,entries_above_25k,original_sum_below_25k,original_sum_above_25k
2017,32,19,13,324453.33,665027.84
2018,34,22,12,368960.67,1159270.44
2019,29,19,10,319254.00,529318.67
