gen_vendor_normalized,total_entries,total_contracts,total_amendments
PRICEWATERHOUSE COOPERS,763,471,292
SI SYSTEMS,726,312,414
CANADIAN CORPS OF COMMISSIONAIRES,406,369,37
PROCOM CONSULTANTS,289,143,146
ERNST YOUNG,228,104,124
GRAYBRIDGE INTERNATIONAL CONSULTING,187,117,70
CACHE COMPUTER CONSULTING,185,100,85
VERITAAQ TECHNOLOGY HOUSE,172,136,36
IBM CANADA,166,165,1
DELOITTE AND TOUCHE,156,118,38
DONNA CONA,153,74,79
SYSTEMATIX SOLUTIONS,142,70,72
PITNEY BOWES,138,136,2
RANDSTAD,132,60,72
ALTIS HUMAN RESOURCES,111,76,35
EVALUATION PERSONNEL SELECTION INT,104,75,29
BRENT MOORE ASSOCIATES,104,104,0
BELL CANADA,96,96,0
GARTNER,95,91,4
CALIAN,94,51,43
MARCH OF DIMES CANADA,92,77,15
MODIS CANADA,90,90,0
MINDWIRE SYSTEMS,89,28,61
CANON,89,89,0
BDO CANADA,86,65,21
MICROSOFT CANADA,85,79,6
TEKNION,82,81,1
SAMSON ASSOCIATES,81,72,9
TELUS CANADA,81,80,1
J BEALS REHABILITATION CONSULTANT,80,77,3
IBISKA TELECOM,75,72,3
MAPLESOFT CONSULTING,74,67,7
XEROX,73,73,0
SHARP ELECTRONICS,73,73,0
COSSETTE COMMUNICATIONS,73,69,4
EXCEL HUMAN RESOURCES,71,68,3
CRAWFORD COMPANY CANADA,71,57,14
QUANTUM MANAGEMENT SERVICES,69,64,5
ADVANCED BUSINESS INTERIORS,69,69,0
ORACLE CANADA,67,62,5
GLOBAL UPHOLSTERY,66,66,0
IRON MOUNTAIN CANADA,65,49,16
TRM TECHNOLOGIES,63,39,24
RAYMOND CHABOT,62,45,17
SAP,59,49,10
SIERRA SYSTEMS GROUP,57,57,0
POSTAGE BY PHONE,56,56,0
RICOH,55,55,0
ACCENTURE,54,54,0
CISTEL TECHNOLOGY,52,48,4
QMR,52,49,3
ADRM TECHNOLOGY CONSULTING,52,39,13
GEVC,52,51,1
OCCUPATIONAL REHABILITATION GROUP,51,47,4
SOFTCHOICE,49,47,2
GRAND TOY,47,47,0
CORNERSTONE OCCUPATIONAL THERAPY,47,44,3
MARTIN DISABILITY,45,41,4
CHASE OFFICE INTERIORS,44,44,0
SAS INSTITUTE,43,42,1
ROGERS,41,41,0
NEOPOST CANADA,39,39,0
CORADIX TECHNOLOGY CONSULTING,39,32,7
GENESIS INTEGRATION,39,38,1
CAE,38,36,2
HAWORTH,38,38,0
ARTEMP PERSONNEL SERVICES,38,38,0
SYSTEMSCOPE,36,34,2
LUMINA IT,35,29,6
NORTHERN MICRO,35,31,4
DELTA PRINTING,35,35,0
ADVANCED CHIPPEWA TECHNOLOGIES,34,33,1
CORPORATE EXECUTIVE BOARD,33,32,1
KNOWLEDGE CIRCLE LEARNING SERVICES,33,33,0
IRON MOUNTAIN CANADA OPERATIONS,31,24,7
IT NET CONSULTANTS,31,20,11
ADOBE,30,18,12
ARGUS MANAGEMENT CONSULTANTS,29,29,0
ADIRONDACK TECHNOLOGIES FURNITURE,29,29,0
CENTRE DE FORMATION CARON,29,28,1
RA MALATEST ASSOCIATES,28,26,2
ECOLE CREUSOT,28,28,0
KPMG,28,21,7
GLOBAL KNOWLEDGE,28,27,1
NORTAK SOFTWARE,28,28,0
ECOLE DE LANGUES ABCE,27,25,2
OPEN FRAME TECHNOLOGIES,27,27,0
CONFERENCE BOARD OF CANADA,27,23,4
MAXSYS,27,25,2
CSI CONSULTING FOXWISE,26,26,0
ACS EXPRESS,26,19,7
BEYOND 20 20,25,24,1
THE HALIFAX GROUP,25,25,0
INSTRUX MEDIA,25,24,1
AURESCO CONSULTING,24,24,0
GOSS GILROY,24,23,1
CBCI TELECOM,24,24,0
PHOENIX SPI,23,23,0
APPLIED ELECTONICS,23,22,1
DYNAMIC PERSONNEL CONSULTANTS,23,19,4
OCCUPATIONAL REHAB GRP OF CDA,23,23,0
HYPERTEC,22,20,2
SOCIAL RESEARCH,22,21,1
ECOLE DE LANGUES LA CITE,22,22,0
AVI SPL CANADA,22,20,2
HARBOURSIDE REHABILITATION,21,20,1
OCCUPATIONAL REHAB GROUP OF CANADA,21,21,0
TEKSYSTEMS CANADA,21,15,6
