vendor_normalized,sum_effective_value
D H PARTNERSHIP,1481293298.76
QUANTUM MANAGEMENT SERVICES,486079698.82
MICROSOFT CANADA,131013398.51
SI SYSTEMS,101014026.83
PRICEWATERHOUSE COOPERS,91895059.59
ORACLE CANADA,91041125.75
UNISYS CANADA,89420470.93
SYSTEMATIX SOLUTIONS,77686916.40
COSSETTE COMMUNICATIONS,76870054.74
XEROX,69006307.20
ACCENTURE,61016379.51
IBM CANADA,60792807.24
CANADIAN CORPS OF COMMISSIONAIRES,57389916.69
NORTHERN MICRO,51063141.18
HYPERTEC,48741612.80
ADOBE,48473029.79
BELL CANADA,47240782.16
TELUS CANADA,46080366.93
ERNST YOUNG,36316982.94
CACHE COMPUTER CONSULTING,32830929.85
PROCOM CONSULTANTS,31441143.18
DELOITTE AND TOUCHE,25140242.34
ROGERS,24343191.70
SAP,18427295.40
SOFTCHOICE,16580995.31
VERITAAQ TECHNOLOGY HOUSE,16481618.47
DONNA CONA,16053220.47
OCE CANADA,15683124.23
SABA SOFTWARE,14322405.14
R E GILMORE INVESTMENTS,13583790.43
SAS INSTITUTE,13304149.86
LANGUAGE RESEARCH DEVELOPMENT,12881637.59
MAPLESOFT CONSULTING,11897191.06
ADVANCED BUSINESS INTERIORS,11822693.46
ST JOSEPH PRINT GROUP,11480160.41
SIMPLEX GRINNELL,11240723.02
PITNEY BOWES,11237816.30
TOTAL CREDIT RECOVERY,11130653.93
BELL HOWELL,11036929.14
FUJITSU,10913930.27
ACART COMMUNICATIONS,10672783.95
CORADIX TECHNOLOGY CONSULTING,10067217.11
CANADA POST,9915450.93
TEK SYSTEMS CANADA,9517996.98
GARTNER,9494188.82
GILMORE PRINTING SERVICES,8920947.72
KPMG,8828303.18
MODIS CANADA,8717359.37
HOOTSUITE MEDIA,8710591.99
SIERRA SYSTEMS GROUP,8634114.23
IT NET CONSULTANTS,8479804.32
CALIAN,8352990.22
NISHA TECHONOLOGIES,8250478.37
ADVANCED CHIPPEWA TECHNOLOGIES,8033410.06
TEK SYSTEMS,7897647.50
CSI CONSULTING FOXWISE,7686153.77
INNOVISION CONSULTING,7590496.20
ADRM TECHNOLOGY CONSULTING,7413119.73
TNS CANADIAN FACTS,7107461.52
BRENT MOORE ASSOCIATES,7056775.90
MICRO FOCUS CANADA,6997592.42
BDO CANADA,6846803.40
CANON,6667221.83
TEKNION,6308734.76
RELIABLE DATA ENTRY,6159064.66
RANDSTAD,5931572.09
SOFTWARE MANAGEMENT ASSOCIATES,5636109.72
GRAYBRIDGE INTERNATIONAL CONSULTING,5604575.01
MPACT,5490675.43
RA MALATEST ASSOCIATES,5458854.05
TERAMACH TECHNOLOGIES,5276877.29
BRC BUSINESS ENTERPRISES,5171151.97
SECURE TECHNOLOGIES INTERNATIONAL,5131528.88
FINANCIAL DEBT RECOVERY,5065997.72
THE VCAN GROUP,5046579.27
HAWORTH,5044884.76
SENSIBLE SECURITY SOLUTIONS SSS,4992801.70
DARE HR,4986913.75
NAVIGANT CONSULTING,4834987.24
DALIAN ENTERPRISES,4822039.88
METAFLOW,4821110.75
EXCEL HUMAN RESOURCES,4794378.94
CORCAN PACIFIC SALES MATSQUI INSTITUTION,4592254.88
POSTAGE BY PHONE,4565274.98
LIONBRIDGE,4380652.88
CHOQUETTE TECHNOLOGY ASSOC,4346546.90
GLOBAL UPHOLSTERY,4326562.17
SHARP ELECTRONICS,4272880.48
TRADUCTIONS TESSIER,4269440.50
DELL COMPUTER,4258269.39
A HUNDRED ANSWERS CONSULTING,4135510.50
TRM TECHNOLOGIES,4128024.83
HEWLETT PACKARD,3996832.76
ATTACHMATE,3993916.96
PWGSC CENTRAL ALLOCATION,3917250.75
CISTEL TECHNOLOGY,3879687.34
BRAINHUNTER,3824891.45
ALLIANCE EVENTS,3765094.07
NORDON COLLECTION NETWORK,3763188.99
DECISIVE TECHNOLOGIES,3747620.35
QMR,3745566.31
SOCIAL RESEARCH DEMONSTRATION,3710101.85
MANIFEST COMMUNICATIONS,3684930.00
COPEM CONSULTING,3649056.56
ASTADIA,3575328.22
EAGLE PROFESSIONAL RESOURCES,3536495.78
CORPORATE EXECUTIVE BOARD,3531130.01
KBSP,3496582.94
M5 MARKETING COMMUNICATIONS,3394786.46
IBISKA TELECOM,3349634.66
